encoding,source,addition_effect
A/B,anchorshift,0.25
A/B,driftgate,0.2968749701976776
A/B,fluxpatch,0.3124999925494194
A/B,motifbridge,0.09375
A/B,phasenest,0.203125
A/B,phasesar,0.14062494039535522
A/B,quorumweave,-0.015625
A/B,shardbloom,0.078125
X/Y,anchorshift,0.15625
X/Y,driftgate,0.21875005960464478
X/Y,fluxpatch,0.20312505960464478
X/Y,motifbridge,0.14062508940696716
X/Y,phasenest,0.04687508940696716
X/Y,phasesar,0.0
X/Y,quorumweave,-0.031249940395355225
X/Y,shardbloom,0.015624940395355225
1/2,anchorshift,0.171875
1/2,driftgate,0.1875
1/2,fluxpatch,0.28125
1/2,motifbridge,0.28125
1/2,phasenest,0.1875
1/2,phasesar,0.03125
1/2,quorumweave,0.03125
1/2,shardbloom,0.1875
