layer,heldout_domain,addition_effect
8,bert,-0.21875
8,ddpm,0.2031249701976776
8,gcn,-0.109375
8,kriging,0.10937500931322575
8,resnet,-0.203125
8,transformer,-0.234375
8,unet,-0.109375
8,xgboost,-0.24999994039535522
12,bert,0.46875
12,ddpm,0.78125
12,gcn,0.03125
12,kriging,0.7812500670552254
12,resnet,-0.15625
12,transformer,0.265625
12,unet,0.140625
12,xgboost,0.10937505960464478
16,bert,-0.3125
16,ddpm,-0.03125002980232239
16,gcn,-0.1875
16,kriging,-0.3124999962747097
16,resnet,-0.265625
16,transformer,-0.09375
16,unet,-0.15625
16,xgboost,-0.2968749403953552
19,bert,-0.171875
19,ddpm,0.2499999701976776
19,gcn,0.078125
19,kriging,-0.20312499441206455
19,resnet,-0.015625
19,transformer,0.0
19,unet,0.046875
19,xgboost,-0.10937494039535522
23,bert,0.015625
23,ddpm,0.1562499701976776
23,gcn,-0.078125
23,kriging,0.015625007450580597
23,resnet,-0.203125
23,transformer,-0.015625
23,unet,-0.109375
23,xgboost,-0.21874994039535522
