source_id,condition,split,profile_index,technical_margin
resnet,academic_nonml,test,6,1.1250000653672032
resnet,academic_nonml,test,7,0.7500000867294148
resnet,academic_nonml,train,0,0.3749999897554517
resnet,academic_nonml,train,1,0.625000033993274
resnet,academic_nonml,train,2,1.7500000914442353
resnet,academic_nonml,train,3,-5.000000040163286
resnet,academic_nonml,validation,4,2.0000000426371116
resnet,academic_nonml,validation,5,1.000000026077032
resnet,expert,test,6,4.75000005979382
resnet,expert,test,7,-2.9999999183564796
resnet,expert,train,0,3.875000164429366
resnet,expert,train,1,4.250000055885039
resnet,expert,train,2,5.37500005979382
resnet,expert,train,3,7.74999986961609
resnet,expert,validation,4,1.3750001417502062
resnet,expert,validation,5,4.3749998249913915
resnet,neutral,test,6,-1.1250000991858542
resnet,neutral,test,7,-1.7500000484287739
resnet,neutral,train,0,-0.7499999181018211
resnet,neutral,train,1,-3.499999909719918
resnet,neutral,train,2,-1.7499999655410647
resnet,neutral,train,3,-1.374999980442226
resnet,neutral,validation,4,-1.5000000186264515
resnet,neutral,validation,5,-2.375
resnet,novice,test,6,-6.999999799380021
resnet,novice,test,7,-4.499999986757757
resnet,novice,train,0,-3.625000066414941
resnet,novice,train,1,-9.625000165597157
resnet,novice,train,2,-4.625000147338142
resnet,novice,train,3,-6.374999853891495
resnet,novice,validation,4,-0.8750000209547579
resnet,novice,validation,5,-4.500000147338142
transformer,academic_nonml,test,6,7.7499997710101525
transformer,academic_nonml,test,7,8.000000227268174
transformer,academic_nonml,train,0,6.749999873420165
transformer,academic_nonml,train,1,5.750000022439053
transformer,academic_nonml,train,2,8.624999849415872
transformer,academic_nonml,train,3,-0.75
transformer,academic_nonml,validation,4,10.249999897643079
transformer,academic_nonml,validation,5,3.8750000186264515
transformer,expert,test,6,12.124999702826301
transformer,expert,test,7,-3.374999764844688
transformer,expert,train,0,11.749999767853325
transformer,expert,train,1,10.499999941821443
transformer,expert,train,2,10.375000300355168
transformer,expert,train,3,11.874999883097246
transformer,expert,validation,4,11.24999994124687
transformer,expert,validation,5,8.500000143000307
transformer,neutral,test,6,7.499999998143039
transformer,neutral,test,7,0.9999999781139195
transformer,neutral,train,0,1.8749999701976776
transformer,neutral,train,1,1.2499999939464033
transformer,neutral,train,2,5.374999761590971
transformer,neutral,train,3,6.625000000002046
transformer,neutral,validation,4,6.750000201191142
transformer,neutral,validation,5,4.750000179330527
transformer,novice,test,6,-6.37500006549817
transformer,novice,test,7,0.7500000484287739
transformer,novice,train,0,2.3749999655410647
transformer,novice,train,1,-4.874999983701855
transformer,novice,train,2,1.3750000484287739
transformer,novice,train,3,-5.8750000933068804
transformer,novice,validation,4,3.7500000447034836
transformer,novice,validation,5,4.2499999878928065
