example_id,source_id,source_role,condition,split,profile_index,technical_label,logp_A,logp_B,technical_margin
resnet:expert:train:0:A,resnet,discovery,expert,train,0,A,-4.541770613286644e-05,-10.000045776367188,10.000000358661055
resnet:expert:train:0:B,resnet,discovery,expert,train,0,B,-0.10020658373832703,-2.3502066135406494,-2.2500000298023224
resnet:expert:train:1:A,resnet,discovery,expert,train,1,A,-4.768360213347478e-06,-12.250004768371582,12.250000000011369
resnet:expert:train:1:B,resnet,discovery,expert,train,1,B,-0.023245446383953094,-3.773245334625244,-3.749999888241291
resnet:expert:train:2:A,resnet,discovery,expert,train,2,A,-2.753696753643453e-05,-10.500027656555176,10.50000011958764
resnet:expert:train:2:B,resnet,discovery,expert,train,2,B,-0.825939416885376,-0.575939416885376,0.25
resnet:expert:train:3:A,resnet,discovery,expert,train,3,A,-2.264974000354414e-06,-13.000001907348633,12.999999642374632
resnet:expert:train:3:B,resnet,discovery,expert,train,3,B,-2.578889846801758,-0.07888974994421005,2.5000000968575478
resnet:expert:validation:4:A,resnet,discovery,expert,validation,4,A,-0.00033539868309162557,-8.000335693359375,8.000000294676283
resnet:expert:validation:4:B,resnet,discovery,expert,validation,4,B,-0.005233753472566605,-5.2552337646484375,-5.250000011175871
resnet:expert:validation:5:A,resnet,discovery,expert,validation,5,A,-0.00012337400403339416,-9.000123023986816,8.999999649982783
resnet:expert:validation:5:B,resnet,discovery,expert,validation,5,B,-0.575939416885376,-0.825939416885376,-0.25
resnet:expert:test:6:A,resnet,discovery,expert,test,6,A,-2.753696753643453e-05,-10.500027656555176,10.50000011958764
resnet:expert:test:6:B,resnet,discovery,expert,test,6,B,-0.3132617473602295,-1.3132617473602295,-1.0
resnet:expert:test:7:A,resnet,discovery,expert,test,7,A,-0.01416344940662384,-4.264163494110107,4.250000044703484
resnet:expert:test:7:B,resnet,discovery,expert,test,7,B,-3.540453326422721e-05,-10.250035285949707,-10.249999881416443
resnet:novice:train:0:A,resnet,discovery,novice,train,0,A,-0.6931471824645996,-0.6931471824645996,0.0
resnet:novice:train:0:B,resnet,discovery,novice,train,0,B,-0.0007098776986822486,-7.2507100105285645,-7.250000132829882
resnet:novice:train:1:A,resnet,discovery,novice,train,1,A,-7.750430583953857,-0.0004306104383431375,-7.749999973515514
resnet:novice:train:1:B,resnet,discovery,novice,train,1,B,-1.0132738680113107e-05,-11.50001049041748,-11.5000003576788
resnet:novice:train:2:A,resnet,discovery,novice,train,2,A,-1.5019290447235107,-0.25192904472351074,-1.25
resnet:novice:train:2:B,resnet,discovery,novice,train,2,B,-0.00033539868309162557,-8.000335693359375,-8.000000294676283
resnet:novice:train:3:A,resnet,discovery,novice,train,3,A,-4.264163494110107,-0.01416344940662384,-4.250000044703484
resnet:novice:train:3:B,resnet,discovery,novice,train,3,B,-0.00020346954988781363,-8.500203132629395,-8.499999663079507
resnet:novice:validation:4:A,resnet,discovery,novice,validation,4,A,-0.01416344940662384,-4.264163494110107,4.250000044703484
resnet:novice:validation:4:B,resnet,discovery,novice,validation,4,B,-0.0024756519123911858,-6.002475738525391,-6.000000086612999
resnet:novice:validation:5:A,resnet,discovery,novice,validation,5,A,-1.3132617473602295,-0.3132617473602295,-1.0
resnet:novice:validation:5:B,resnet,discovery,novice,validation,5,B,-0.00033539868309162557,-8.000335693359375,-8.000000294676283
resnet:novice:test:6:A,resnet,discovery,novice,test,6,A,-5.006715297698975,-0.006715348921716213,-4.999999948777258
resnet:novice:test:6:B,resnet,discovery,novice,test,6,B,-0.00012337400403339416,-9.000123023986816,-8.999999649982783
resnet:novice:test:7:A,resnet,discovery,novice,test,7,A,-1.5019290447235107,-0.25192904472351074,-1.25
resnet:novice:test:7:B,resnet,discovery,novice,test,7,B,-0.0004306104383431375,-7.750430583953857,-7.749999973515514
resnet:academic_nonml:train:0:A,resnet,discovery,academic_nonml,train,0,A,-0.0031777145341038704,-5.753177642822266,5.749999928288162
resnet:academic_nonml:train:0:B,resnet,discovery,academic_nonml,train,0,B,-0.006715348921716213,-5.006715297698975,-4.999999948777258
resnet:academic_nonml:train:1:A,resnet,discovery,academic_nonml,train,1,A,-0.0024756519123911858,-6.002475738525391,6.000000086612999
resnet:academic_nonml:train:1:B,resnet,discovery,academic_nonml,train,1,B,-0.008614521473646164,-4.758614540100098,-4.7500000186264515
resnet:academic_nonml:train:2:A,resnet,discovery,academic_nonml,train,2,A,-0.0015023384476080537,-6.501502513885498,6.50000017543789
resnet:academic_nonml:train:2:B,resnet,discovery,academic_nonml,train,2,B,-0.04858732968568802,-3.0485873222351074,-2.9999999925494194
resnet:academic_nonml:train:3:A,resnet,discovery,academic_nonml,train,3,A,-3.773245334625244,-0.023245446383953094,-3.749999888241291
resnet:academic_nonml:train:3:B,resnet,discovery,academic_nonml,train,3,B,-0.0019286142196506262,-6.251928806304932,-6.250000192085281
resnet:academic_nonml:validation:4:A,resnet,discovery,academic_nonml,validation,4,A,-0.0004306104383431375,-7.750430583953857,7.749999973515514
resnet:academic_nonml:validation:4:B,resnet,discovery,academic_nonml,validation,4,B,-0.023245446383953094,-3.773245334625244,-3.749999888241291
resnet:academic_nonml:validation:5:A,resnet,discovery,academic_nonml,validation,5,A,-0.004078404977917671,-5.504078388214111,5.499999983236194
resnet:academic_nonml:validation:5:B,resnet,discovery,academic_nonml,validation,5,B,-0.029750416055321693,-3.529750347137451,-3.4999999310821295
resnet:academic_nonml:test:6:A,resnet,discovery,academic_nonml,test,6,A,-0.0015023384476080537,-6.501502513885498,6.50000017543789
