source_id,condition,split,n_profiles,mean_technical_margin,standard_error
resnet,academic_nonml,test,2,0.937500076048309,0.18749998931889422
resnet,academic_nonml,train,4,-0.5624999812425813,1.5090870816740016
resnet,academic_nonml,validation,2,1.5000000343570719,0.5000000082800398
resnet,expert,test,2,0.87500007071867,3.8749999890751496
resnet,expert,train,4,5.312500037431079,0.872764944508857
resnet,expert,validation,2,2.874999983370799,1.4999998416205926
resnet,neutral,test,2,-1.437500073807314,0.31249997462145984
resnet,neutral,train,4,-1.8437499434512574,0.5893477082684976
resnet,neutral,validation,2,-1.9375000093132257,0.43749999068677425
resnet,novice,test,2,-5.749999893068889,1.2499999063111318
resnet,novice,train,4,-6.062500058310434,1.3164622839638562
resnet,novice,validation,2,-2.68750008414645,1.8125000631916919
transformer,academic_nonml,test,2,7.874999999139163,0.1250002281290108
transformer,academic_nonml,train,4,5.093749936318773,2.0370110312386456
transformer,academic_nonml,validation,2,7.062499958134765,3.1874999395083137
transformer,expert,test,2,4.374999968990807,7.7499997338354945
transformer,expert,train,4,11.124999973281795,0.39856504662069975
transformer,expert,validation,2,9.875000042123588,1.3749998991232815
transformer,neutral,test,2,4.249999988128479,3.25000001001456
transformer,neutral,train,4,3.7812499314342745,1.3123759666583918
transformer,neutral,validation,2,5.750000190260835,1.0000000109303073
transformer,novice,test,2,-2.8125000085346983,3.562500056963472
transformer,novice,train,4,-1.7500000157597242,2.112709569216586
transformer,novice,validation,2,4.000000016298145,0.24999997159466147
