encoding,heldout_source,example_id,condition,profile_index,technical_label,baseline_margin,addition_signed_effect,ablated_margin
A/B,bert,bert:domain_expert:test:6:A,domain_expert,6,A,7.75,-0.0,5.0
A/B,bert,bert:domain_expert:test:6:B,domain_expert,6,B,-0.25,0.75,-5.0
A/B,bert,bert:domain_expert:test:7:A,domain_expert,7,A,8.25,-0.5,5.75
A/B,bert,bert:domain_expert:test:7:B,domain_expert,7,B,8.0,-0.0,3.0
A/B,bert,bert:matched_other_expert:test:6:A,matched_other_expert,6,A,7.0,-0.25,3.75
A/B,bert,bert:matched_other_expert:test:6:B,matched_other_expert,6,B,-8.25,1.5,-10.5
A/B,bert,bert:matched_other_expert:test:7:A,matched_other_expert,7,A,6.5,0.0,4.5
A/B,bert,bert:matched_other_expert:test:7:B,matched_other_expert,7,B,6.25,0.5,-2.0
X/Y,bert,bert:domain_expert:test:6:A,domain_expert,6,X,5.75,0.25,3.25
X/Y,bert,bert:domain_expert:test:6:B,domain_expert,6,Y,8.25,0.25,2.0
X/Y,bert,bert:domain_expert:test:7:A,domain_expert,7,X,8.5,0.25,5.25
X/Y,bert,bert:domain_expert:test:7:B,domain_expert,7,Y,11.75,-0.25,8.0
X/Y,bert,bert:matched_other_expert:test:6:A,matched_other_expert,6,X,4.0,0.5,1.5
X/Y,bert,bert:matched_other_expert:test:6:B,matched_other_expert,6,Y,1.5,0.5,-4.25
X/Y,bert,bert:matched_other_expert:test:7:A,matched_other_expert,7,X,5.5,0.25,3.25
X/Y,bert,bert:matched_other_expert:test:7:B,matched_other_expert,7,Y,12.75,0.0,9.25
1/2,bert,bert:domain_expert:test:6:A,domain_expert,6,1,8.5,-0.5,6.375
1/2,bert,bert:domain_expert:test:6:B,domain_expert,6,2,-6.25,-0.25,-7.5
1/2,bert,bert:domain_expert:test:7:A,domain_expert,7,1,8.25,-0.25,8.0
1/2,bert,bert:domain_expert:test:7:B,domain_expert,7,2,1.5,-0.0,0.75
1/2,bert,bert:matched_other_expert:test:6:A,matched_other_expert,6,1,7.25,-0.25,5.25
1/2,bert,bert:matched_other_expert:test:6:B,matched_other_expert,6,2,-12.5,-0.25,-13.75
1/2,bert,bert:matched_other_expert:test:7:A,matched_other_expert,7,1,7.0,0.0,6.625
1/2,bert,bert:matched_other_expert:test:7:B,matched_other_expert,7,2,1.25,-0.25,-1.0
A/B,ddpm,ddpm:domain_expert:test:6:A,domain_expert,6,A,13.0,-0.0,10.5
A/B,ddpm,ddpm:domain_expert:test:6:B,domain_expert,6,B,-8.5,1.0,-10.0
A/B,ddpm,ddpm:domain_expert:test:7:A,domain_expert,7,A,12.75,-0.25,11.0
A/B,ddpm,ddpm:domain_expert:test:7:B,domain_expert,7,B,-2.5,1.5,-7.5
A/B,ddpm,ddpm:matched_other_expert:test:6:A,matched_other_expert,6,A,12.0,0.0,8.25
A/B,ddpm,ddpm:matched_other_expert:test:6:B,matched_other_expert,6,B,-7.5,0.5,-10.0
A/B,ddpm,ddpm:matched_other_expert:test:7:A,matched_other_expert,7,A,11.5,0.0,7.5
A/B,ddpm,ddpm:matched_other_expert:test:7:B,matched_other_expert,7,B,-3.5,0.0,-4.5
X/Y,ddpm,ddpm:domain_expert:test:6:A,domain_expert,6,X,13.25,-0.25,2.5
X/Y,ddpm,ddpm:domain_expert:test:6:B,domain_expert,6,Y,-5.5,1.5,-3.0
X/Y,ddpm,ddpm:domain_expert:test:7:A,domain_expert,7,X,14.0,-0.25,3.25
X/Y,ddpm,ddpm:domain_expert:test:7:B,domain_expert,7,Y,4.75,0.75,1.5
X/Y,ddpm,ddpm:matched_other_expert:test:6:A,matched_other_expert,6,X,13.0,-0.5,-1.25
