heldout_source,kind,seed,addition_effect,all_layer_ablation_reduction
kriging,learned,-1,-0.25,0.5625
kriging,random,0,0.0625,0.625
kriging,random,1,-0.0625,-0.1875
kriging,random,2,0.03125,0.1875
kriging,random,3,-0.21875,0.0
kriging,random,4,-0.125,0.3125
kriging,random,5,0.21875,0.1875
kriging,random,6,-0.125,0.3125
kriging,random,7,-0.125,-0.3125
kriging,random,8,0.15625,0.1875
kriging,random,9,-0.0625,0.5
kriging,random,10,0.15625,0.5
kriging,random,11,0.34375,0.5625
kriging,random,12,-0.15625,0.1875
kriging,random,13,-0.28125,0.125
kriging,random,14,0.0,0.5625
kriging,random,15,0.125,0.4375
kriging,random,16,-0.0625,0.1875
kriging,random,17,0.1875,-0.25
kriging,random,18,0.0,-0.25
kriging,random,19,-0.03125,0.4375
resnet,learned,-1,-0.1875,0.3125
resnet,random,0,0.1875,0.0625
resnet,random,1,-0.03125,0.3125
resnet,random,2,0.40625,0.3125
resnet,random,3,0.21875,0.0625
resnet,random,4,0.09375,0.25
resnet,random,5,0.28125,-0.0625
resnet,random,6,-0.125,0.5625
resnet,random,7,0.1875,0.125
resnet,random,8,0.40625,0.1875
resnet,random,9,0.34375,0.25
resnet,random,10,0.0625,0.5
resnet,random,11,-0.03125,0.375
resnet,random,12,-0.125,0.1875
resnet,random,13,0.21875,0.375
resnet,random,14,0.21875,0.125
resnet,random,15,0.0625,0.125
resnet,random,16,0.15625,0.4375
resnet,random,17,0.15625,-0.25
resnet,random,18,0.3125,0.1875
resnet,random,19,0.125,0.0625
transformer,learned,-1,0.125,0.375
transformer,random,0,0.34375,0.5625
transformer,random,1,-0.03125,0.0625
transformer,random,2,0.125,0.3125
transformer,random,3,-0.15625,0.375
transformer,random,4,0.21875,0.0
transformer,random,5,0.03125,0.1875
transformer,random,6,-0.03125,-0.1875
transformer,random,7,-0.03125,-0.125
transformer,random,8,-0.09375,0.3125
transformer,random,9,0.0,0.4375
transformer,random,10,0.1875,-0.0625
transformer,random,11,-0.03125,0.375
transformer,random,12,-0.125,0.3125
transformer,random,13,-0.0625,0.5625
transformer,random,14,-0.15625,0.0625
transformer,random,15,0.03125,0.3125
transformer,random,16,0.21875,0.125
transformer,random,17,-0.09375,0.125
transformer,random,18,0.15625,-0.125
transformer,random,19,0.21875,-0.125
unet,learned,-1,0.65625,-0.125
unet,random,0,-0.09375,-0.375
unet,random,1,-0.09375,-0.375
unet,random,2,0.09375,0.375
unet,random,3,0.15625,0.4375
unet,random,4,-0.03125,-0.375
unet,random,5,0.0625,0.125
unet,random,6,0.125,-0.5625
unet,random,7,0.0,0.0625
unet,random,8,-0.03125,0.0
unet,random,9,-0.1875,0.125
unet,random,10,0.21875,0.5625
unet,random,11,-0.03125,0.8125
unet,random,12,-0.21875,0.1875
unet,random,13,-0.125,0.4375
unet,random,14,-0.125,0.0
unet,random,15,-0.0625,0.0625
unet,random,16,-0.25,0.625
unet,random,17,0.03125,-0.25
unet,random,18,0.0625,-0.3125
unet,random,19,0.15625,0.3125
