kind,seed,example_id,source_id,profile_index,technical_label,alpha,technical_margin
learned,-1,resnet:novice:test:6:A,resnet,6,A,-2.0,-12.750000000004093
learned,-1,resnet:novice:test:6:A,resnet,6,A,2.0,6.000000086612999
learned,-1,resnet:novice:test:6:B,resnet,6,B,-2.0,-5.499999983236194
learned,-1,resnet:novice:test:6:B,resnet,6,B,2.0,-7.500000152911525
learned,-1,resnet:novice:test:7:A,resnet,7,A,-2.0,-10.749999523393853
learned,-1,resnet:novice:test:7:A,resnet,7,A,2.0,6.749999969732016
learned,-1,resnet:novice:test:7:B,resnet,7,B,-2.0,-3.749999888241291
learned,-1,resnet:novice:test:7:B,resnet,7,B,2.0,-6.000000086612999
learned,-1,transformer:novice:test:6:A,transformer,6,A,-2.0,-11.5000003576788
learned,-1,transformer:novice:test:6:A,transformer,6,A,2.0,4.7500000186264515
learned,-1,transformer:novice:test:6:B,transformer,6,B,-2.0,-3.2499999403953552
learned,-1,transformer:novice:test:6:B,transformer,6,B,2.0,-8.250000034138793
learned,-1,transformer:novice:test:7:A,transformer,7,A,-2.0,-8.250000034138793
learned,-1,transformer:novice:test:7:A,transformer,7,A,2.0,7.749999973515514
learned,-1,transformer:novice:test:7:B,transformer,7,B,-2.0,0.25
learned,-1,transformer:novice:test:7:B,transformer,7,B,2.0,2.0000000447034836
random,0,resnet:novice:test:6:A,resnet,6,A,-2.0,-6.250000192085281
random,0,resnet:novice:test:6:A,resnet,6,A,2.0,-3.749999888241291
random,0,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.000000294676283
random,0,resnet:novice:test:6:B,resnet,6,B,2.0,-9.499999525964085
random,0,resnet:novice:test:7:A,resnet,7,A,-2.0,-2.0000000447034836
random,0,resnet:novice:test:7:A,resnet,7,A,2.0,-0.25
random,0,resnet:novice:test:7:B,resnet,7,B,-2.0,-6.50000017543789
random,0,resnet:novice:test:7:B,resnet,7,B,2.0,-8.250000034138793
random,0,transformer:novice:test:6:A,transformer,6,A,-2.0,-6.50000017543789
random,0,transformer:novice:test:6:A,transformer,6,A,2.0,-2.5000000968575478
random,0,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.250000132829882
random,0,transformer:novice:test:6:B,transformer,6,B,2.0,-8.749999893334461
random,0,transformer:novice:test:7:A,transformer,7,A,-2.0,1.0
random,0,transformer:novice:test:7:A,transformer,7,A,2.0,3.4999999310821295
random,0,transformer:novice:test:7:B,transformer,7,B,-2.0,1.0
random,0,transformer:novice:test:7:B,transformer,7,B,2.0,-2.5000000968575478
random,1,resnet:novice:test:6:A,resnet,6,A,-2.0,-4.7500000186264515
random,1,resnet:novice:test:6:A,resnet,6,A,2.0,-5.499999983236194
random,1,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.250000034138793
random,1,resnet:novice:test:6:B,resnet,6,B,2.0,-8.749999893334461
random,1,resnet:novice:test:7:A,resnet,7,A,-2.0,-0.7499999701976776
random,1,resnet:novice:test:7:A,resnet,7,A,2.0,-1.5000000596046448
random,1,resnet:novice:test:7:B,resnet,7,B,-2.0,-7.500000152911525
random,1,resnet:novice:test:7:B,resnet,7,B,2.0,-6.999999819439836
random,1,transformer:novice:test:6:A,transformer,6,A,-2.0,-3.749999888241291
random,1,transformer:novice:test:6:A,transformer,6,A,2.0,-5.749999928288162
random,1,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.500000152911525
random,1,transformer:novice:test:6:B,transformer,6,B,2.0,-8.000000294676283
random,1,transformer:novice:test:7:A,transformer,7,A,-2.0,3.9999998919665813
random,1,transformer:novice:test:7:A,transformer,7,A,2.0,0.7499999701976776
random,1,transformer:novice:test:7:B,transformer,7,B,-2.0,-0.5
random,1,transformer:novice:test:7:B,transformer,7,B,2.0,-0.5
random,2,resnet:novice:test:6:A,resnet,6,A,-2.0,-4.500000096857548
random,2,resnet:novice:test:6:A,resnet,6,A,2.0,-5.499999983236194
random,2,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.749999893334461
random,2,resnet:novice:test:6:B,resnet,6,B,2.0,-8.749999893334461
random,2,resnet:novice:test:7:A,resnet,7,A,-2.0,0.0
random,2,resnet:novice:test:7:A,resnet,7,A,2.0,-2.2500000298023224
random,2,resnet:novice:test:7:B,resnet,7,B,-2.0,-7.749999973515514
random,2,resnet:novice:test:7:B,resnet,7,B,2.0,-6.999999819439836
random,2,transformer:novice:test:6:A,transformer,6,A,-2.0,-4.250000044703484
random,2,transformer:novice:test:6:A,transformer,6,A,2.0,-4.999999948777258
random,2,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.000000294676283
random,2,transformer:novice:test:6:B,transformer,6,B,2.0,-8.499999663079507
random,2,transformer:novice:test:7:A,transformer,7,A,-2.0,3.4999999310821295
random,2,transformer:novice:test:7:A,transformer,7,A,2.0,1.25
random,2,transformer:novice:test:7:B,transformer,7,B,-2.0,-1.25
random,2,transformer:novice:test:7:B,transformer,7,B,2.0,-0.5
random,3,resnet:novice:test:6:A,resnet,6,A,-2.0,-5.499999983236194
random,3,resnet:novice:test:6:A,resnet,6,A,2.0,-4.7500000186264515
random,3,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.250000034138793
random,3,resnet:novice:test:6:B,resnet,6,B,2.0,-8.749999893334461
random,3,resnet:novice:test:7:A,resnet,7,A,-2.0,-2.0000000447034836
random,3,resnet:novice:test:7:A,resnet,7,A,2.0,-1.0
random,3,resnet:novice:test:7:B,resnet,7,B,-2.0,-6.250000192085281
random,3,resnet:novice:test:7:B,resnet,7,B,2.0,-8.000000294676283
random,3,transformer:novice:test:6:A,transformer,6,A,-2.0,-5.499999983236194
random,3,transformer:novice:test:6:A,transformer,6,A,2.0,-3.9999998919665813
random,3,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.250000132829882
random,3,transformer:novice:test:6:B,transformer,6,B,2.0,-8.499999663079507
random,3,transformer:novice:test:7:A,transformer,7,A,-2.0,1.25
random,3,transformer:novice:test:7:A,transformer,7,A,2.0,2.9999999925494194
random,3,transformer:novice:test:7:B,transformer,7,B,-2.0,1.25
random,3,transformer:novice:test:7:B,transformer,7,B,2.0,-2.2500000298023224
random,4,resnet:novice:test:6:A,resnet,6,A,-2.0,-5.749999928288162
random,4,resnet:novice:test:6:A,resnet,6,A,2.0,-2.5000000968575478
random,4,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.749999893334461
random,4,resnet:novice:test:6:B,resnet,6,B,2.0,-8.749999893334461
random,4,resnet:novice:test:7:A,resnet,7,A,-2.0,-2.7499999962747097
random,4,resnet:novice:test:7:A,resnet,7,A,2.0,1.5000000596046448
random,4,resnet:novice:test:7:B,resnet,7,B,-2.0,-7.500000152911525
random,4,resnet:novice:test:7:B,resnet,7,B,2.0,-7.749999973515514
random,4,transformer:novice:test:6:A,transformer,6,A,-2.0,-6.749999969732016
random,4,transformer:novice:test:6:A,transformer,6,A,2.0,-0.7499999701976776
random,4,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.499999663079507
random,4,transformer:novice:test:6:B,transformer,6,B,2.0,-8.000000294676283
random,4,transformer:novice:test:7:A,transformer,7,A,-2.0,-0.25
random,4,transformer:novice:test:7:A,transformer,7,A,2.0,5.749999928288162
random,4,transformer:novice:test:7:B,transformer,7,B,-2.0,0.5
random,4,transformer:novice:test:7:B,transformer,7,B,2.0,-2.7499999962747097
random,5,resnet:novice:test:6:A,resnet,6,A,-2.0,-3.2499999403953552
random,5,resnet:novice:test:6:A,resnet,6,A,2.0,-5.499999983236194
random,5,resnet:novice:test:6:B,resnet,6,B,-2.0,-9.250000243031536
random,5,resnet:novice:test:6:B,resnet,6,B,2.0,-7.749999973515514
random,5,resnet:novice:test:7:A,resnet,7,A,-2.0,0.7499999701976776
random,5,resnet:novice:test:7:A,resnet,7,A,2.0,-2.2500000298023224
random,5,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.499999663079507
random,5,resnet:novice:test:7:B,resnet,7,B,2.0,-6.250000192085281
random,5,transformer:novice:test:6:A,transformer,6,A,-2.0,-3.2499999403953552
random,5,transformer:novice:test:6:A,transformer,6,A,2.0,-4.999999948777258
random,5,transformer:novice:test:6:B,transformer,6,B,-2.0,-9.250000243031536
random,5,transformer:novice:test:6:B,transformer,6,B,2.0,-6.50000017543789
random,5,transformer:novice:test:7:A,transformer,7,A,-2.0,4.999999948777258
random,5,transformer:novice:test:7:A,transformer,7,A,2.0,0.25
random,5,transformer:novice:test:7:B,transformer,7,B,-2.0,-4.250000044703484
random,5,transformer:novice:test:7:B,transformer,7,B,2.0,1.5000000596046448
random,6,resnet:novice:test:6:A,resnet,6,A,-2.0,-8.749999893334461
random,6,resnet:novice:test:6:A,resnet,6,A,2.0,-1.7499999850988388
random,6,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.499999663079507
random,6,resnet:novice:test:6:B,resnet,6,B,2.0,-8.250000034138793
random,6,resnet:novice:test:7:A,resnet,7,A,-2.0,-3.9999998919665813
random,6,resnet:novice:test:7:A,resnet,7,A,2.0,1.0
random,6,resnet:novice:test:7:B,resnet,7,B,-2.0,-6.999999819439836
random,6,resnet:novice:test:7:B,resnet,7,B,2.0,-7.250000132829882
random,6,transformer:novice:test:6:A,transformer,6,A,-2.0,-8.749999893334461
random,6,transformer:novice:test:6:A,transformer,6,A,2.0,-1.0
random,6,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.250000132829882
random,6,transformer:novice:test:6:B,transformer,6,B,2.0,-7.749999973515514
random,6,transformer:novice:test:7:A,transformer,7,A,-2.0,-1.0
random,6,transformer:novice:test:7:A,transformer,7,A,2.0,3.9999998919665813
random,6,transformer:novice:test:7:B,transformer,7,B,-2.0,1.5000000596046448
random,6,transformer:novice:test:7:B,transformer,7,B,2.0,-2.0000000447034836
random,7,resnet:novice:test:6:A,resnet,6,A,-2.0,-6.999999819439836
random,7,resnet:novice:test:6:A,resnet,6,A,2.0,-2.5000000968575478
random,7,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.499999663079507
random,7,resnet:novice:test:6:B,resnet,6,B,2.0,-9.250000243031536
random,7,resnet:novice:test:7:A,resnet,7,A,-2.0,-3.2499999403953552
random,7,resnet:novice:test:7:A,resnet,7,A,2.0,1.0
random,7,resnet:novice:test:7:B,resnet,7,B,-2.0,-6.50000017543789
random,7,resnet:novice:test:7:B,resnet,7,B,2.0,-8.250000034138793
random,7,transformer:novice:test:6:A,transformer,6,A,-2.0,-6.999999819439836
random,7,transformer:novice:test:6:A,transformer,6,A,2.0,-2.0000000447034836
random,7,transformer:novice:test:6:B,transformer,6,B,-2.0,-7.500000152911525
random,7,transformer:novice:test:6:B,transformer,6,B,2.0,-8.749999893334461
random,7,transformer:novice:test:7:A,transformer,7,A,-2.0,0.0
random,7,transformer:novice:test:7:A,transformer,7,A,2.0,4.500000096857548
random,7,transformer:novice:test:7:B,transformer,7,B,-2.0,1.25
random,7,transformer:novice:test:7:B,transformer,7,B,2.0,-2.9999999925494194
random,8,resnet:novice:test:6:A,resnet,6,A,-2.0,-5.749999928288162
random,8,resnet:novice:test:6:A,resnet,6,A,2.0,-3.9999998919665813
random,8,resnet:novice:test:6:B,resnet,6,B,-2.0,-9.250000243031536
random,8,resnet:novice:test:6:B,resnet,6,B,2.0,-8.499999663079507
random,8,resnet:novice:test:7:A,resnet,7,A,-2.0,-2.2500000298023224
random,8,resnet:novice:test:7:A,resnet,7,A,2.0,0.0
random,8,resnet:novice:test:7:B,resnet,7,B,-2.0,-7.500000152911525
random,8,resnet:novice:test:7:B,resnet,7,B,2.0,-7.500000152911525
random,8,transformer:novice:test:6:A,transformer,6,A,-2.0,-6.50000017543789
random,8,transformer:novice:test:6:A,transformer,6,A,2.0,-2.7499999962747097
random,8,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.749999893334461
random,8,transformer:novice:test:6:B,transformer,6,B,2.0,-7.500000152911525
random,8,transformer:novice:test:7:A,transformer,7,A,-2.0,0.0
random,8,transformer:novice:test:7:A,transformer,7,A,2.0,3.9999998919665813
random,8,transformer:novice:test:7:B,transformer,7,B,-2.0,-1.0
random,8,transformer:novice:test:7:B,transformer,7,B,2.0,-0.25
random,9,resnet:novice:test:6:A,resnet,6,A,-2.0,-2.9999999925494194
random,9,resnet:novice:test:6:A,resnet,6,A,2.0,-6.749999969732016
random,9,resnet:novice:test:6:B,resnet,6,B,-2.0,-9.749999882489647
random,9,resnet:novice:test:6:B,resnet,6,B,2.0,-7.500000152911525
random,9,resnet:novice:test:7:A,resnet,7,A,-2.0,0.7499999701976776
random,9,resnet:novice:test:7:A,resnet,7,A,2.0,-2.7499999962747097
random,9,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.749999893334461
random,9,resnet:novice:test:7:B,resnet,7,B,2.0,-6.000000086612999
random,9,transformer:novice:test:6:A,transformer,6,A,-2.0,-2.2500000298023224
random,9,transformer:novice:test:6:A,transformer,6,A,2.0,-6.250000192085281
random,9,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.999999649982783
random,9,transformer:novice:test:6:B,transformer,6,B,2.0,-6.749999969732016
random,9,transformer:novice:test:7:A,transformer,7,A,-2.0,4.999999948777258
random,9,transformer:novice:test:7:A,transformer,7,A,2.0,-0.25
random,9,transformer:novice:test:7:B,transformer,7,B,-2.0,-2.2500000298023224
random,9,transformer:novice:test:7:B,transformer,7,B,2.0,1.0
random,10,resnet:novice:test:6:A,resnet,6,A,-2.0,-3.2499999403953552
random,10,resnet:novice:test:6:A,resnet,6,A,2.0,-6.50000017543789
random,10,resnet:novice:test:6:B,resnet,6,B,-2.0,-8.999999649982783
random,10,resnet:novice:test:6:B,resnet,6,B,2.0,-8.000000294676283
random,10,resnet:novice:test:7:A,resnet,7,A,-2.0,0.0
random,10,resnet:novice:test:7:A,resnet,7,A,2.0,-2.2500000298023224
random,10,resnet:novice:test:7:B,resnet,7,B,-2.0,-8.000000294676283
random,10,resnet:novice:test:7:B,resnet,7,B,2.0,-6.250000192085281
random,10,transformer:novice:test:6:A,transformer,6,A,-2.0,-2.2500000298023224
random,10,transformer:novice:test:6:A,transformer,6,A,2.0,-6.999999819439836
