blind_code,example_id,condition,alpha
ba2f866626,resnet:expert:test:6,expert,-1.0
bdb23730f4,resnet:expert:test:6,expert,0.0
846c352dfe,resnet:expert:test:6,expert,1.0
15855c90b0,resnet:expert:test:7,expert,-1.0
770cf7b189,resnet:expert:test:7,expert,0.0
62140f39f2,resnet:expert:test:7,expert,1.0
beb8b9f9a7,resnet:novice:test:6,novice,-1.0
aae2f6dfbc,resnet:novice:test:6,novice,0.0
d2c36ba51c,resnet:novice:test:6,novice,1.0
95547f086f,resnet:novice:test:7,novice,-1.0
d619a5eedc,resnet:novice:test:7,novice,0.0
a4485bdd1d,resnet:novice:test:7,novice,1.0
46891db60f,transformer:expert:test:6,expert,-1.0
517a523be5,transformer:expert:test:6,expert,0.0
e99912abc2,transformer:expert:test:6,expert,1.0
5c20259992,transformer:expert:test:7,expert,-1.0
e2b1b605f4,transformer:expert:test:7,expert,0.0
a08f5e79d1,transformer:expert:test:7,expert,1.0
4e4f20add3,transformer:novice:test:6,novice,-1.0
af91c198c7,transformer:novice:test:6,novice,0.0
0d07a917fc,transformer:novice:test:6,novice,1.0
d308c2d74b,transformer:novice:test:7,novice,-1.0
73e5caafcc,transformer:novice:test:7,novice,0.0
70eaa824ac,transformer:novice:test:7,novice,1.0
