kind,seed,example_id,source_id,condition,technical_label,technical_margin
learned,-1,resnet:expert:test:6:A,resnet,expert,A,3.3749999068677425
learned,-1,resnet:expert:test:6:B,resnet,expert,B,1.8749998807907104
learned,-1,resnet:expert:test:7:A,resnet,expert,A,1.375
learned,-1,resnet:expert:test:7:B,resnet,expert,B,0.0
learned,-1,resnet:novice:test:6:A,resnet,novice,A,-1.1249999701976776
learned,-1,resnet:novice:test:6:B,resnet,novice,B,-2.875000111758709
learned,-1,resnet:novice:test:7:A,resnet,novice,A,-0.5
learned,-1,resnet:novice:test:7:B,resnet,novice,B,-0.625
learned,-1,transformer:expert:test:6:A,transformer,expert,A,2.6249998956918716
learned,-1,transformer:expert:test:6:B,transformer,expert,B,1.1250000298023224
learned,-1,transformer:expert:test:7:A,transformer,expert,A,2.750000014901161
learned,-1,transformer:expert:test:7:B,transformer,expert,B,0.375
learned,-1,transformer:novice:test:6:A,transformer,novice,A,-1.2499999403953552
learned,-1,transformer:novice:test:6:B,transformer,novice,B,-2.749999925494194
learned,-1,transformer:novice:test:7:A,transformer,novice,A,0.5
learned,-1,transformer:novice:test:7:B,transformer,novice,B,-0.125
random,0,resnet:expert:test:6:A,resnet,expert,A,3.8749999087303877
random,0,resnet:expert:test:6:B,resnet,expert,B,2.2499999329447746
random,0,resnet:expert:test:7:A,resnet,expert,A,1.3750000447034836
random,0,resnet:expert:test:7:B,resnet,expert,B,0.0
random,0,resnet:novice:test:6:A,resnet,novice,A,-1.1249999701976776
random,0,resnet:novice:test:6:B,resnet,novice,B,-3.375000052154064
random,0,resnet:novice:test:7:A,resnet,novice,A,-0.6250000298023224
random,0,resnet:novice:test:7:B,resnet,novice,B,-0.7499999701976776
random,0,transformer:expert:test:6:A,transformer,expert,A,3.125000052154064
random,0,transformer:expert:test:6:B,transformer,expert,B,1.4999999701976776
random,0,transformer:expert:test:7:A,transformer,expert,A,2.8750001154839993
random,0,transformer:expert:test:7:B,transformer,expert,B,0.625
random,0,transformer:novice:test:6:A,transformer,novice,A,-1.3750000447034836
random,0,transformer:novice:test:6:B,transformer,novice,B,-3.124999962747097
random,0,transformer:novice:test:7:A,transformer,novice,A,0.5
random,0,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,1,resnet:expert:test:6:A,resnet,expert,A,3.7499999906867743
random,1,resnet:expert:test:6:B,resnet,expert,B,2.2499999031424522
random,1,resnet:expert:test:7:A,resnet,expert,A,1.5000000447034836
random,1,resnet:expert:test:7:B,resnet,expert,B,0.0
random,1,resnet:novice:test:6:A,resnet,novice,A,-1.2500000596046448
random,1,resnet:novice:test:6:B,resnet,novice,B,-3.3749999552965164
random,1,resnet:novice:test:7:A,resnet,novice,A,-0.6249999701976776
random,1,resnet:novice:test:7:B,resnet,novice,B,-0.7499999701976776
random,1,transformer:expert:test:6:A,transformer,expert,A,3.000000063329935
random,1,transformer:expert:test:6:B,transformer,expert,B,1.3749999552965164
random,1,transformer:expert:test:7:A,transformer,expert,A,2.875000014901161
random,1,transformer:expert:test:7:B,transformer,expert,B,0.625
random,1,transformer:novice:test:6:A,transformer,novice,A,-1.25
random,1,transformer:novice:test:6:B,transformer,novice,B,-2.999999888241291
random,1,transformer:novice:test:7:A,transformer,novice,A,0.375
random,1,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,2,resnet:expert:test:6:A,resnet,expert,A,3.7499999552965164
random,2,resnet:expert:test:6:B,resnet,expert,B,2.249999947845936
random,2,resnet:expert:test:7:A,resnet,expert,A,1.5
random,2,resnet:expert:test:7:B,resnet,expert,B,0.0
random,2,resnet:novice:test:6:A,resnet,novice,A,-1.2500000298023224
random,2,resnet:novice:test:6:B,resnet,novice,B,-3.3749999068677425
random,2,resnet:novice:test:7:A,resnet,novice,A,-0.6249999701976776
random,2,resnet:novice:test:7:B,resnet,novice,B,-0.75
random,2,transformer:expert:test:6:A,transformer,expert,A,2.9999999590218067
random,2,transformer:expert:test:6:B,transformer,expert,B,1.5
random,2,transformer:expert:test:7:A,transformer,expert,A,2.8749999962747097
random,2,transformer:expert:test:7:B,transformer,expert,B,0.6250000298023224
random,2,transformer:novice:test:6:A,transformer,novice,A,-1.3750000447034836
random,2,transformer:novice:test:6:B,transformer,novice,B,-3.124999888241291
random,2,transformer:novice:test:7:A,transformer,novice,A,0.5
random,2,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,3,resnet:expert:test:6:A,resnet,expert,A,3.7500000651925802
random,3,resnet:expert:test:6:B,resnet,expert,B,2.2500001043081284
random,3,resnet:expert:test:7:A,resnet,expert,A,1.3750000298023224
random,3,resnet:expert:test:7:B,resnet,expert,B,0.0
random,3,resnet:novice:test:6:A,resnet,novice,A,-1.2499999701976776
random,3,resnet:novice:test:6:B,resnet,novice,B,-3.375000048428774
random,3,resnet:novice:test:7:A,resnet,novice,A,-0.6249999701976776
random,3,resnet:novice:test:7:B,resnet,novice,B,-0.7499999403953552
random,3,transformer:expert:test:6:A,transformer,expert,A,3.1249999217689037
random,3,transformer:expert:test:6:B,transformer,expert,B,1.5000000149011612
random,3,transformer:expert:test:7:A,transformer,expert,A,2.874999888241291
random,3,transformer:expert:test:7:B,transformer,expert,B,0.6250000298023224
random,3,transformer:novice:test:6:A,transformer,novice,A,-1.25
random,3,transformer:novice:test:6:B,transformer,novice,B,-3.0000001154839993
random,3,transformer:novice:test:7:A,transformer,novice,A,0.375
random,3,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,4,resnet:expert:test:6:A,resnet,expert,A,3.7499999534338713
random,4,resnet:expert:test:6:B,resnet,expert,B,2.250000022351742
random,4,resnet:expert:test:7:A,resnet,expert,A,1.3749999850988388
random,4,resnet:expert:test:7:B,resnet,expert,B,-0.125
random,4,resnet:novice:test:6:A,resnet,novice,A,-1.25
random,4,resnet:novice:test:6:B,resnet,novice,B,-3.374999914318323
random,4,resnet:novice:test:7:A,resnet,novice,A,-0.6250000298023224
random,4,resnet:novice:test:7:B,resnet,novice,B,-0.8749999701976776
random,4,transformer:expert:test:6:A,transformer,expert,A,2.999999910593033
random,4,transformer:expert:test:6:B,transformer,expert,B,1.5000000149011612
random,4,transformer:expert:test:7:A,transformer,expert,A,2.8749999552965164
random,4,transformer:expert:test:7:B,transformer,expert,B,0.6250000298023224
random,4,transformer:novice:test:6:A,transformer,novice,A,-1.3749999850988388
random,4,transformer:novice:test:6:B,transformer,novice,B,-2.999999988824129
random,4,transformer:novice:test:7:A,transformer,novice,A,0.4999999701976776
random,4,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,5,resnet:expert:test:6:A,resnet,expert,A,3.750000011175871
random,5,resnet:expert:test:6:B,resnet,expert,B,2.250000111758709
random,5,resnet:expert:test:7:A,resnet,expert,A,1.375
random,5,resnet:expert:test:7:B,resnet,expert,B,-0.125
random,5,resnet:novice:test:6:A,resnet,novice,A,-1.125
random,5,resnet:novice:test:6:B,resnet,novice,B,-3.375000052154064
random,5,resnet:novice:test:7:A,resnet,novice,A,-0.6250000298023224
random,5,resnet:novice:test:7:B,resnet,novice,B,-0.8750000298023224
random,5,transformer:expert:test:6:A,transformer,expert,A,3.124999936670065
random,5,transformer:expert:test:6:B,transformer,expert,B,1.4999999403953552
random,5,transformer:expert:test:7:A,transformer,expert,A,2.874999988824129
random,5,transformer:expert:test:7:B,transformer,expert,B,0.6250000298023224
random,5,transformer:novice:test:6:A,transformer,novice,A,-1.3749999850988388
random,5,transformer:novice:test:6:B,transformer,novice,B,-3.0000000186264515
random,5,transformer:novice:test:7:A,transformer,novice,A,0.5
random,5,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,6,resnet:expert:test:6:A,resnet,expert,A,3.7500000186264515
random,6,resnet:expert:test:6:B,resnet,expert,B,2.2499999180436134
random,6,resnet:expert:test:7:A,resnet,expert,A,1.5
random,6,resnet:expert:test:7:B,resnet,expert,B,0.0
random,6,resnet:novice:test:6:A,resnet,novice,A,-1.2499999403953552
random,6,resnet:novice:test:6:B,resnet,novice,B,-3.3750000558793545
random,6,resnet:novice:test:7:A,resnet,novice,A,-0.6249999701976776
random,6,resnet:novice:test:7:B,resnet,novice,B,-0.75
random,6,transformer:expert:test:6:A,transformer,expert,A,3.1249999068677425
random,6,transformer:expert:test:6:B,transformer,expert,B,1.3750000149011612
random,6,transformer:expert:test:7:A,transformer,expert,A,2.875000014901161
random,6,transformer:expert:test:7:B,transformer,expert,B,0.6250000596046448
random,6,transformer:novice:test:6:A,transformer,novice,A,-1.3749999552965164
random,6,transformer:novice:test:6:B,transformer,novice,B,-3.000000022351742
random,6,transformer:novice:test:7:A,transformer,novice,A,0.375
random,6,transformer:novice:test:7:B,transformer,novice,B,-0.375
random,7,resnet:expert:test:6:A,resnet,expert,A,3.7499999944120646
random,7,resnet:expert:test:6:B,resnet,expert,B,2.2500000819563866
random,7,resnet:expert:test:7:A,resnet,expert,A,1.3749999701976776
random,7,resnet:expert:test:7:B,resnet,expert,B,0.0
random,7,resnet:novice:test:6:A,resnet,novice,A,-1.25
random,7,resnet:novice:test:6:B,resnet,novice,B,-3.3749999701976776
random,7,resnet:novice:test:7:A,resnet,novice,A,-0.6249999403953552
random,7,resnet:novice:test:7:B,resnet,novice,B,-0.75
random,7,transformer:expert:test:6:A,transformer,expert,A,3.1250001080334187
random,7,transformer:expert:test:6:B,transformer,expert,B,1.5000000298023224
random,7,transformer:expert:test:7:A,transformer,expert,A,2.8749999664723873
random,7,transformer:expert:test:7:B,transformer,expert,B,0.6250000298023224
random,7,transformer:novice:test:6:A,transformer,novice,A,-1.3750000298023224
random,7,transformer:novice:test:6:B,transformer,novice,B,-3.1250000968575478
random,7,transformer:novice:test:7:A,transformer,novice,A,0.5
random,7,transformer:novice:test:7:B,transformer,novice,B,-0.375
