components,rank,source,gap_reduction,aggregate_mean
1,1,anchorshift,0.031249970197677612,0.03906249441206455
1,1,driftgate,0.03125,0.03906249441206455
1,1,fluxpatch,0.0,0.03906249441206455
1,1,motifbridge,-0.031250014901161194,0.03906249441206455
1,1,phasenest,0.06249997019767761,0.03906249441206455
1,1,phasesar,0.09375,0.03906249441206455
1,1,quorumweave,0.0,0.03906249441206455
1,1,shardbloom,0.1250000298023224,0.03906249441206455
2,1,anchorshift,0.06249991059303284,0.04687499534338713
2,1,driftgate,-0.0625000074505806,0.04687499534338713
2,1,fluxpatch,0.031250014901161194,0.04687499534338713
2,1,motifbridge,0.06249997019767761,0.04687499534338713
2,1,phasenest,0.0625000074505806,0.04687499534338713
2,1,phasesar,0.1250000074505806,0.04687499534338713
2,1,quorumweave,0.03125,0.04687499534338713
2,1,shardbloom,0.06250005960464478,0.04687499534338713
3,1,anchorshift,0.09374997019767761,0.08984374534338713
3,1,driftgate,0.1249999925494194,0.08984374534338713
3,1,fluxpatch,0.0625000149011612,0.08984374534338713
3,1,motifbridge,0.09374997019767761,0.08984374534338713
3,1,phasenest,0.1562500298023224,0.08984374534338713
3,1,phasesar,0.031249985098838806,0.08984374534338713
3,1,quorumweave,0.12499997019767761,0.08984374534338713
3,1,shardbloom,0.03125002980232239,0.08984374534338713
1+2,2,anchorshift,0.03125,0.08593750465661287
1+2,2,driftgate,0.062499985098838806,0.08593750465661287
1+2,2,fluxpatch,0.12500004470348358,0.08593750465661287
1+2,2,motifbridge,0.06249997764825821,0.08593750465661287
1+2,2,phasenest,0.125,0.08593750465661287
1+2,2,phasesar,0.15625,0.08593750465661287
1+2,2,quorumweave,0.03125,0.08593750465661287
1+2,2,shardbloom,0.09375002980232239,0.08593750465661287
1+3,2,anchorshift,0.125,0.14843749813735485
1+3,2,driftgate,0.1562499850988388,0.14843749813735485
1+3,2,fluxpatch,0.125,0.14843749813735485
1+3,2,motifbridge,0.031249970197677612,0.14843749813735485
1+3,2,phasenest,0.25,0.14843749813735485
1+3,2,phasesar,0.1875,0.14843749813735485
1+3,2,quorumweave,0.15625,0.14843749813735485
1+3,2,shardbloom,0.1562500298023224,0.14843749813735485
2+3,2,anchorshift,0.1562499701976776,0.1406249925494194
2+3,2,driftgate,0.06250002980232239,0.1406249925494194
2+3,2,fluxpatch,0.1874999701976776,0.1406249925494194
2+3,2,motifbridge,0.1562499701976776,0.1406249925494194
2+3,2,phasenest,0.21875,0.1406249925494194
2+3,2,phasesar,0.1250000298023224,0.1406249925494194
2+3,2,quorumweave,0.09374997019767761,0.1406249925494194
2+3,2,shardbloom,0.125,0.1406249925494194
1+2+3,3,anchorshift,0.1562499701976776,0.17968749348074198
1+2+3,3,driftgate,0.09375002980232239,0.17968749348074198
1+2+3,3,fluxpatch,0.1874999850988388,0.17968749348074198
1+2+3,3,motifbridge,0.06249997019767761,0.17968749348074198
1+2+3,3,phasenest,0.3437499701976776,0.17968749348074198
1+2+3,3,phasesar,0.2187499925494194,0.17968749348074198
1+2+3,3,quorumweave,0.15625,0.17968749348074198
1+2+3,3,shardbloom,0.2187500298023224,0.17968749348074198
4,1,anchorshift,0.031249940395355225,0.019531242549419403
4,1,driftgate,0.031249970197677612,0.019531242549419403
4,1,fluxpatch,0.0,0.019531242549419403
4,1,motifbridge,-0.03125,0.019531242549419403
4,1,phasenest,0.03125,0.019531242549419403
4,1,phasesar,0.03125,0.019531242549419403
4,1,quorumweave,0.0,0.019531242549419403
4,1,shardbloom,0.06250002980232239,0.019531242549419403
5,1,anchorshift,0.0,-0.0078125
5,1,driftgate,-0.062499985098838806,-0.0078125
5,1,fluxpatch,0.0,-0.0078125
5,1,motifbridge,-0.03125002980232239,-0.0078125
5,1,phasenest,-0.03125002980232239,-0.0078125
5,1,phasesar,0.062499985098838806,-0.0078125
5,1,quorumweave,0.03125,-0.0078125
5,1,shardbloom,-0.031249940395355225,-0.0078125
6,1,anchorshift,-0.09375002980232239,-0.01171875186264515
6,1,driftgate,-0.09374997019767761,-0.01171875186264515
6,1,fluxpatch,0.031249985098838806,-0.01171875186264515
6,1,motifbridge,0.03124995529651642,-0.01171875186264515
6,1,phasenest,0.031250014901161194,-0.01171875186264515
6,1,phasesar,-0.0625,-0.01171875186264515
6,1,quorumweave,0.03125,-0.01171875186264515
6,1,shardbloom,0.03125002980232239,-0.01171875186264515
7,1,anchorshift,-2.9802322387695312e-08,0.11718749720603228
7,1,driftgate,0.1250000074505806,0.11718749720603228
7,1,fluxpatch,0.15625,0.11718749720603228
7,1,motifbridge,0.06249997019767761,0.11718749720603228
7,1,phasenest,0.21875,0.11718749720603228
7,1,phasesar,0.09375,0.11718749720603228
7,1,quorumweave,0.09375,0.11718749720603228
7,1,shardbloom,0.1875000298023224,0.11718749720603228
8,1,anchorshift,-0.06250002980232239,-0.03125
8,1,driftgate,-0.0625,-0.03125
8,1,fluxpatch,-0.03125,-0.03125
8,1,motifbridge,-0.03125002980232239,-0.03125
8,1,phasenest,0.0,-0.03125
8,1,phasesar,0.0,-0.03125
8,1,quorumweave,-0.0625,-0.03125
8,1,shardbloom,5.960464477539063e-08,-0.03125
