layer,validation_accuracy,test_accuracy,validation_causal_effect,direction_norm
0,0.375,0.5,nan,0.007677892223000526
1,0.5,0.375,nan,0.012250143103301525
2,0.5,0.375,nan,0.0200746338814497
3,0.375,0.375,nan,0.043548718094825745
4,0.5,0.25,nan,0.06815854460000992
5,0.5,0.125,nan,0.07913213968276978
6,0.5,0.25,nan,0.07823378592729568
7,0.75,0.375,nan,0.10300373286008835
8,1.0,0.375,-0.015625009778887033,0.1065930500626564
9,1.0,0.375,-4.6566128730773926e-09,0.11430294066667557
10,0.875,0.375,nan,0.12068253010511398
11,0.625,0.625,nan,0.1870208978652954
12,0.625,0.75,nan,0.2123488038778305
13,0.75,0.75,nan,0.22569897770881653
14,0.75,0.75,nan,0.23771438002586365
15,0.625,0.625,nan,0.3778972029685974
16,0.875,0.875,nan,0.7151908874511719
17,1.0,0.875,0.3750000046566129,1.416522741317749
18,1.0,0.75,0.5625000232830644,1.6349780559539795
19,1.0,0.75,0.1718749930150807,2.642953395843506
20,1.0,0.75,0.2656249664723873,2.8723084926605225
21,1.0,0.75,0.2343749925494194,3.0059118270874023
22,1.0,0.75,0.2656250027939677,3.168120861053467
23,1.0,0.75,0.04687499953433871,3.1767821311950684
24,1.0,0.75,0.04687499860301614,3.170893907546997
25,1.0,0.75,0.04687502654269338,3.117009401321411
26,1.0,0.75,0.04687502095475793,3.18807315826416
27,0.875,0.75,nan,3.279224395751953
28,0.875,0.75,nan,3.4709925651550293
29,0.75,0.75,nan,3.774763345718384
30,0.75,0.75,nan,4.220676422119141
31,0.75,0.75,nan,5.623600959777832
