train_domains,subset,test_source,addition_effect
1,bert,anchorshift,0.2812500149011612
1,bert,driftgate,0.2031250074505806
1,bert,fluxpatch,0.21875
1,bert,motifbridge,0.10937497764825821
1,bert,phasenest,0.140625
1,bert,phasesar,0.2343749925494194
1,bert,quorumweave,0.234375
1,bert,shardbloom,0.2343750149011612
1,ddpm,anchorshift,0.1874999701976776
1,ddpm,driftgate,0.1562500149011612
1,ddpm,fluxpatch,0.1875
1,ddpm,motifbridge,0.1093749850988388
1,ddpm,phasenest,0.078125
1,ddpm,phasesar,0.125
1,ddpm,quorumweave,0.15625
1,ddpm,shardbloom,0.1250000149011612
1,gcn,anchorshift,0.2031249850988388
1,gcn,driftgate,0.109375
1,gcn,fluxpatch,0.15625
1,gcn,motifbridge,0.031249985098838806
1,gcn,phasenest,0.125
1,gcn,phasesar,0.140625
1,gcn,quorumweave,0.15625
1,gcn,shardbloom,0.1250000149011612
1,kriging,anchorshift,0.6093749850988388
1,kriging,driftgate,0.3906250074505806
1,kriging,fluxpatch,0.421875
1,kriging,motifbridge,0.2031249850988388
1,kriging,phasenest,0.328125
1,kriging,phasesar,0.421875
1,kriging,quorumweave,0.296875
1,kriging,shardbloom,0.3125000149011612
1,resnet,anchorshift,0.031249985098838806
1,resnet,driftgate,-0.03125
1,resnet,fluxpatch,0.015625
1,resnet,motifbridge,-1.4901161193847656e-08
1,resnet,phasenest,0.015625
1,resnet,phasesar,0.015625
1,resnet,quorumweave,0.03125
1,resnet,shardbloom,0.031250014901161194
1,transformer,anchorshift,0.4531249850988388
1,transformer,driftgate,0.2968749850988388
1,transformer,fluxpatch,0.390625
1,transformer,motifbridge,0.2031249925494194
1,transformer,phasenest,0.2031250149011612
1,transformer,phasesar,0.296875
1,transformer,quorumweave,0.28125
1,transformer,shardbloom,0.2500000149011612
1,unet,anchorshift,0.015624970197677612
1,unet,driftgate,-0.0468750074505806
1,unet,fluxpatch,-0.046875
1,unet,motifbridge,-1.4901161193847656e-08
1,unet,phasenest,-0.0625000074505806
1,unet,phasesar,-7.450580596923828e-09
1,unet,quorumweave,-0.03125
1,unet,shardbloom,2.9802322387695312e-08
1,xgboost,anchorshift,0.1406249850988388
1,xgboost,driftgate,0.0625000111758709
1,xgboost,fluxpatch,0.109375
1,xgboost,motifbridge,0.031249970197677612
1,xgboost,phasenest,0.015624985098838806
1,xgboost,phasesar,0.09375
1,xgboost,quorumweave,0.078125
1,xgboost,shardbloom,0.046875014901161194
2,bert+ddpm,anchorshift,0.2343749701976776
2,bert+ddpm,driftgate,0.1874999925494194
2,bert+ddpm,fluxpatch,0.2499999925494194
2,bert+ddpm,motifbridge,0.10937497764825821
2,bert+ddpm,phasenest,0.15625
2,bert+ddpm,phasesar,0.2031250074505806
2,bert+ddpm,quorumweave,0.1562499850988388
2,bert+ddpm,shardbloom,0.1718750149011612
2,bert+gcn,anchorshift,0.265625
2,bert+gcn,driftgate,0.171875
2,bert+gcn,fluxpatch,0.203125
2,bert+gcn,motifbridge,0.06249997764825821
2,bert+gcn,phasenest,0.1249999850988388
2,bert+gcn,phasesar,0.1718750074505806
2,bert+gcn,quorumweave,0.1875000149011612
2,bert+gcn,shardbloom,0.1562500149011612
2,bert+kriging,anchorshift,0.453125
2,bert+kriging,driftgate,0.2968749925494194
2,bert+kriging,fluxpatch,0.328125
2,bert+kriging,motifbridge,0.1874999850988388
2,bert+kriging,phasenest,0.234375
2,bert+kriging,phasesar,0.3125
2,bert+kriging,quorumweave,0.2500000149011612
2,bert+kriging,shardbloom,0.2500000149011612
2,bert+resnet,anchorshift,0.15625
2,bert+resnet,driftgate,0.0937500149011612
2,bert+resnet,fluxpatch,0.125
2,bert+resnet,motifbridge,0.0937499850988388
2,bert+resnet,phasenest,0.1093749925494194
2,bert+resnet,phasesar,0.125
2,bert+resnet,quorumweave,0.15625
2,bert+resnet,shardbloom,0.1250000149011612
2,bert+transformer,anchorshift,0.328125
2,bert+transformer,driftgate,0.2656250149011612
2,bert+transformer,fluxpatch,0.296875
2,bert+transformer,motifbridge,0.1562499776482582
2,bert+transformer,phasenest,0.15625
2,bert+transformer,phasesar,0.234375
2,bert+transformer,quorumweave,0.2187500149011612
2,bert+transformer,shardbloom,0.2500000149011612
2,bert+unet,anchorshift,0.1718749850988388
2,bert+unet,driftgate,0.0937499925494194
2,bert+unet,fluxpatch,0.125
2,bert+unet,motifbridge,0.03124997764825821
2,bert+unet,phasenest,0.046875
2,bert+unet,phasesar,0.125
2,bert+unet,quorumweave,0.09375
2,bert+unet,shardbloom,0.1093750149011612
2,bert+xgboost,anchorshift,0.203125
2,bert+xgboost,driftgate,0.15625
2,bert+xgboost,fluxpatch,0.203125
