train_domains,n_subsets,metric,mean,median,minimum,maximum
1,8,mean_effect,0.1516113262041472,0.13574218563735485,-0.021484379656612873,0.3730468740686774
1,8,positive_test_domains,7.0,8.0,2.0,8.0
1,8,cosine_to_full,0.578740768134594,0.6032722890377045,0.30723559856414795,0.7379251718521118
1,8,direction_norm,0.47709358111023903,0.4546525627374649,0.3272912800312042,0.6661596894264221
2,28,mean_effect,0.15227399407220737,0.15722656343132257,-0.0019531259313225746,0.3222656287252903
2,28,positive_test_domains,7.714285714285714,8.0,4.0,8.0
2,28,cosine_to_full,0.7347805670329502,0.7640789449214935,0.5872752070426941,0.8609078526496887
2,28,direction_norm,0.37854380373443874,0.3731963038444519,0.2674540877342224,0.5116422176361084
4,70,mean_effect,0.15231584603898227,0.15527343354187906,0.0527343712747097,0.24609374720603228
4,70,positive_test_domains,8.0,8.0,8.0,8.0
4,70,cosine_to_full,0.8840655531202044,0.8898537456989288,0.7909405827522278,0.9306380152702332
4,70,direction_norm,0.3167567125388554,0.3175348937511444,0.24812781810760498,0.39549878239631653
6,28,mean_effect,0.15555245361091302,0.15917968726716936,0.09179687034338713,0.1972656254656613
6,28,positive_test_domains,8.0,8.0,8.0,8.0
6,28,cosine_to_full,0.9568696426493781,0.9599856734275818,0.9171373248100281,0.9768393039703369
6,28,direction_norm,0.2932132301586015,0.2911364585161209,0.26063939929008484,0.3289029598236084
8,1,mean_effect,0.15625000186264515,0.15625000186264515,0.15625000186264515,0.15625000186264515
8,1,positive_test_domains,8.0,8.0,8.0,8.0
8,1,cosine_to_full,1.000000238418579,1.000000238418579,1.000000238418579,1.000000238418579
8,1,direction_norm,0.28072482347488403,0.28072482347488403,0.28072482347488403,0.28072482347488403
