example_id,source_id,source_role,condition,split,profile_index,technical_label,logp_A,logp_B,technical_margin
resnet:domain_expert:train:0:A,resnet,cv,domain_expert,train,0,A,-0.08965259045362473,-2.4646525382995605,2.374999947845936
resnet:domain_expert:train:0:B,resnet,cv,domain_expert,train,0,B,-1.31620454788208,-0.31620460748672485,0.9999999403953552
resnet:domain_expert:train:1:A,resnet,cv,domain_expert,train,1,A,-0.16117416322231293,-1.9111741781234741,1.7500000149011612
resnet:domain_expert:train:1:B,resnet,cv,domain_expert,train,1,B,-0.9764866232872009,-0.4764866232872009,0.5
resnet:domain_expert:train:2:A,resnet,cv,domain_expert,train,2,A,-0.07092604041099548,-2.6959259510040283,2.624999910593033
resnet:domain_expert:train:2:B,resnet,cv,domain_expert,train,2,B,-1.5057358741760254,-0.2557359039783478,1.2499999701976776
resnet:domain_expert:train:3:A,resnet,cv,domain_expert,train,3,A,-0.06286291033029556,-2.8128628730773926,2.749999962747097
resnet:domain_expert:train:3:B,resnet,cv,domain_expert,train,3,B,-1.2271814346313477,-0.35218146443367004,0.8749999701976776
resnet:domain_expert:validation:4:A,resnet,cv,domain_expert,validation,4,A,-0.07972093671560287,-2.579720973968506,2.500000037252903
resnet:domain_expert:validation:4:B,resnet,cv,domain_expert,validation,4,B,-1.2263758182525635,-0.3513757884502411,0.8750000298023224
resnet:domain_expert:validation:5:A,resnet,cv,domain_expert,validation,5,A,-0.14337220788002014,-2.0183722972869873,1.8750000894069672
resnet:domain_expert:validation:5:B,resnet,cv,domain_expert,validation,5,B,-1.1391925811767578,-0.3891925811767578,0.75
resnet:domain_expert:test:6:A,resnet,cv,domain_expert,test,6,A,-0.12763455510139465,-2.1276345252990723,1.9999999701976776
resnet:domain_expert:test:6:B,resnet,cv,domain_expert,test,6,B,-0.9760011434555054,-0.47600114345550537,0.5
resnet:domain_expert:test:7:A,resnet,cv,domain_expert,test,7,A,-0.07974030822515488,-2.579740285873413,2.499999977648258
resnet:domain_expert:test:7:B,resnet,cv,domain_expert,test,7,B,-1.1392523050308228,-0.38925227522850037,0.7500000298023224
resnet:matched_other_expert:train:0:A,resnet,cv,matched_other_expert,train,0,A,-0.07973866164684296,-2.5797386169433594,2.4999999552965164
resnet:matched_other_expert:train:0:B,resnet,cv,matched_other_expert,train,0,B,-1.5045514106750488,-0.25455135107040405,1.2500000596046448
resnet:matched_other_expert:train:1:A,resnet,cv,matched_other_expert,train,1,A,-0.20227637887001038,-1.702276349067688,1.4999999701976776
resnet:matched_other_expert:train:1:B,resnet,cv,matched_other_expert,train,1,B,-1.1393978595733643,-0.38939788937568665,0.7499999701976776
resnet:matched_other_expert:train:2:A,resnet,cv,matched_other_expert,train,2,A,-0.07979358732700348,-2.579793691635132,2.5000001043081284
resnet:matched_other_expert:train:2:B,resnet,cv,matched_other_expert,train,2,B,-1.8079016208648682,-0.18290168046951294,1.6249999403953552
resnet:matched_other_expert:train:3:A,resnet,cv,matched_other_expert,train,3,A,-0.055584054440259933,-2.930583953857422,2.874999899417162
resnet:matched_other_expert:train:3:B,resnet,cv,matched_other_expert,train,3,B,-1.5051569938659668,-0.2551570534706116,1.2499999403953552
resnet:matched_other_expert:validation:4:A,resnet,cv,matched_other_expert,validation,4,A,-0.08983632922172546,-2.464836359024048,2.3750000298023224
resnet:matched_other_expert:validation:4:B,resnet,cv,matched_other_expert,validation,4,B,-1.3164432048797607,-0.3164432644844055,0.9999999403953552
resnet:matched_other_expert:validation:5:A,resnet,cv,matched_other_expert,validation,5,A,-0.1805810183286667,-1.805580973625183,1.6249999552965164
resnet:matched_other_expert:validation:5:B,resnet,cv,matched_other_expert,validation,5,B,-1.1396925449371338,-0.38969260454177856,0.7499999403953552
resnet:matched_other_expert:test:6:A,resnet,cv,matched_other_expert,test,6,A,-0.10076504945755005,-2.3507649898529053,2.2499999403953552
