source_id,condition,split,n_profiles,mean_technical_margin,standard_error
kriging,domain_expert,test,2,2.124999983701855,0.06249997252598405
kriging,domain_expert,train,4,2.2187500062864274,0.28240503103197906
kriging,domain_expert,validation,2,1.1249999664723873,0.1250000074505806
kriging,matched_other_expert,test,2,1.6249999729916453,2.514570951461792e-08
kriging,matched_other_expert,train,4,1.7499999552965164,0.294259295443526
kriging,matched_other_expert,validation,2,0.5937500260770321,0.031249944120645523
resnet,domain_expert,test,2,1.4374999944120646,0.18750000931322575
resnet,domain_expert,train,4,1.6406249646097422,0.17929076190705037
resnet,domain_expert,validation,2,1.5000000391155481,0.18749999441206455
resnet,matched_other_expert,test,2,1.5625000149011612,4.470348358154297e-08
resnet,matched_other_expert,train,4,1.7812499799765646,0.22316963989169455
resnet,matched_other_expert,validation,2,1.4374999664723873,0.2500000186264515
transformer,domain_expert,test,2,1.2500000074505806,0.1249999925494194
transformer,domain_expert,train,4,1.4687500316649675,0.14986974921496732
transformer,domain_expert,validation,2,0.6874999925494194,0.2499999925494194
transformer,matched_other_expert,test,2,0.96875,0.1562500149011612
transformer,matched_other_expert,train,4,0.9843749981373549,0.1949475741100222
transformer,matched_other_expert,validation,2,0.5312499850988388,0.2187499850988388
unet,domain_expert,test,2,2.375000038649887,0.06249999767169356
unet,domain_expert,train,4,2.562499991618097,0.25129870428573003
unet,domain_expert,validation,2,2.4062499683350325,0.21874993108212948
unet,matched_other_expert,test,2,2.4062499571591616,0.15624998323619366
unet,matched_other_expert,train,4,2.562499956227839,0.17116327728579164
unet,matched_other_expert,validation,2,2.2812499781139195,0.2812500004656613
