heldout_source,seed,mean_addition_effect
bert,0,0.0
bert,1,-0.0781250037252903
bert,2,-0.078125
bert,3,-0.109375
bert,4,-0.03125
bert,5,-0.03125
bert,6,-0.015625
bert,7,-0.0625
bert,8,-0.078125
bert,9,-0.0625
bert,10,-0.0937499925494194
bert,11,-0.078125
bert,12,-0.0937500074505806
bert,13,-0.046875
bert,14,-0.015625
bert,15,-0.0625000074505806
bert,16,-0.015625
bert,17,-0.015625007450580597
bert,18,-0.015625
bert,19,0.0312500074505806
bert,20,0.03125
bert,21,-0.078125
bert,22,-0.0937500074505806
bert,23,-0.03125
bert,24,-0.015625
bert,25,-0.078125
bert,26,-0.015625
bert,27,-0.03125
bert,28,-0.03125
bert,29,-0.046875
bert,30,-0.0312500074505806
bert,31,-0.0625000074505806
bert,32,-0.031249992549419403
bert,33,-0.0312500074505806
bert,34,-0.078125
bert,35,-0.03125
bert,36,-0.015625
bert,37,0.03125
bert,38,-0.03125
bert,39,-0.015625
bert,40,-0.0781249925494194
bert,41,0.0
bert,42,-0.0625000074505806
bert,43,-0.046875
bert,44,-0.03125
bert,45,0.03125
bert,46,-0.046875
bert,47,-0.09375
bert,48,-0.046875
bert,49,-0.0625
bert,50,-0.015624992549419403
bert,51,-0.015625
bert,52,-0.03125
bert,53,-0.031249992549419403
bert,54,-0.015625
bert,55,-0.046875
bert,56,-0.03125
bert,57,-0.0625
bert,58,-0.015625
bert,59,-0.03125
bert,60,-0.0468749925494194
bert,61,-0.046875
bert,62,-0.0781250074505806
bert,63,-0.0625
bert,64,-0.0937499925494194
bert,65,-0.015625
bert,66,-0.109375
bert,67,0.015625
bert,68,-0.046875
bert,69,-0.03125
bert,70,-0.0312500074505806
bert,71,-0.015625
bert,72,0.0
bert,73,-0.015625
bert,74,-0.046875
bert,75,-0.03125
bert,76,-0.03125
bert,77,-0.046875
bert,78,-0.078125
bert,79,-0.0625
bert,80,0.0
bert,81,-0.09375
bert,82,-0.03125
bert,83,0.0
bert,84,-0.015625
bert,85,-0.015625
bert,86,-0.046875
bert,87,-0.046875
bert,88,-0.078125
bert,89,0.0
bert,90,-0.03125
bert,91,-0.015624992549419403
bert,92,-7.450580596923828e-09
bert,93,-0.03125
bert,94,-0.046875
bert,95,-0.046875
bert,96,-0.0468749925494194
bert,97,-0.015625
bert,98,-0.09375
bert,99,-0.015625
ddpm,0,0.015625
ddpm,1,0.046875
ddpm,2,0.015624992549419403
ddpm,3,-0.015625
ddpm,4,-0.03125
ddpm,5,0.0
ddpm,6,0.0625
ddpm,7,0.03125
ddpm,8,0.03125
ddpm,9,0.0
ddpm,10,0.0
ddpm,11,-0.015625
ddpm,12,0.0625
ddpm,13,0.03125
ddpm,14,0.078125
ddpm,15,-0.0312500074505806
ddpm,16,0.0624999925494194
ddpm,17,0.0
ddpm,18,0.015625
ddpm,19,0.015625
ddpm,20,0.09375
ddpm,21,-0.015625
ddpm,22,0.0624999925494194
ddpm,23,0.0
ddpm,24,-0.015625
ddpm,25,0.0
ddpm,26,-0.015625
ddpm,27,0.015625
ddpm,28,-0.03125
ddpm,29,-0.015625
ddpm,30,0.015625
ddpm,31,0.015625
ddpm,32,0.0
ddpm,33,0.0
ddpm,34,0.015625
ddpm,35,0.046875
ddpm,36,0.0625
ddpm,37,0.0
ddpm,38,0.03125
ddpm,39,0.03125
ddpm,40,0.0468750037252903
ddpm,41,0.015625
ddpm,42,0.046875
ddpm,43,-7.450580596923828e-09
ddpm,44,0.015625
ddpm,45,0.03125
ddpm,46,0.03125
ddpm,47,0.046875
ddpm,48,-0.015625007450580597
ddpm,49,0.0
ddpm,50,0.0
ddpm,51,0.03125
ddpm,52,0.078125
ddpm,53,0.0625
ddpm,54,0.03125
ddpm,55,0.015625
ddpm,56,0.046875
ddpm,57,0.0
ddpm,58,-0.03125
ddpm,59,0.0625
ddpm,60,-0.015625
ddpm,61,-0.03125
ddpm,62,0.0
ddpm,63,-0.015625
ddpm,64,0.0
ddpm,65,0.015625
ddpm,66,0.03125
ddpm,67,-0.03125
ddpm,68,0.03125
ddpm,69,0.03125
ddpm,70,0.0
ddpm,71,-0.03125
ddpm,72,0.0625
ddpm,73,0.015625
ddpm,74,0.03125
ddpm,75,0.03125
ddpm,76,0.06250002980232239
ddpm,77,0.03125
ddpm,78,0.0
ddpm,79,0.0
ddpm,80,-0.03125
ddpm,81,0.0
ddpm,82,-0.015625
ddpm,83,0.0
ddpm,84,0.0
ddpm,85,0.078125
ddpm,86,0.046875
ddpm,87,0.0
ddpm,88,0.0
ddpm,89,0.0625
ddpm,90,-0.03125
ddpm,91,0.0
ddpm,92,0.0
ddpm,93,0.0
ddpm,94,-0.015625
ddpm,95,0.03125
ddpm,96,0.078125
ddpm,97,0.015625
ddpm,98,0.046875
ddpm,99,0.03125
gcn,0,0.0625
gcn,1,-0.015625
gcn,2,-0.0937500074505806
gcn,3,-0.0625000074505806
gcn,4,0.03125
gcn,5,-0.03125
gcn,6,0.03125
gcn,7,-0.015624992549419403
gcn,8,-0.046875
gcn,9,0.03125
gcn,10,0.0
gcn,11,-0.0625
gcn,12,-0.015625
gcn,13,0.0
gcn,14,0.0625
gcn,15,0.0
gcn,16,-0.015625
gcn,17,-0.03125
gcn,18,0.0
gcn,19,0.0
gcn,20,0.0625
gcn,21,-0.046875
gcn,22,-0.0625
gcn,23,0.09375
gcn,24,0.03125
gcn,25,-0.0625
gcn,26,0.015625
gcn,27,-0.046875
gcn,28,-0.03125
gcn,29,0.015625
gcn,30,-0.0625
gcn,31,0.0
gcn,32,-0.015625
gcn,33,0.03125
gcn,34,-0.078125
gcn,35,-0.015625007450580597
gcn,36,0.046875
gcn,37,0.109375
gcn,38,-0.015625
gcn,39,0.03125
gcn,40,-0.09375
gcn,41,0.0
gcn,42,-0.015625
gcn,43,-7.450580596923828e-09
gcn,44,0.0
gcn,45,0.03125
gcn,46,0.046875
gcn,47,-0.0625
gcn,48,0.015625
gcn,49,0.0
gcn,50,0.0
gcn,51,0.03125
gcn,52,0.015625
gcn,53,-0.03125
gcn,54,-0.046875
gcn,55,0.0
gcn,56,0.03125
gcn,57,0.0
gcn,58,0.0
gcn,59,-0.015625
gcn,60,-0.015625
gcn,61,-0.03125
gcn,62,0.03125
gcn,63,-0.046875
gcn,64,-0.03125
gcn,65,-0.015625
gcn,66,-0.078125
gcn,67,0.03125
gcn,68,-0.03125
gcn,69,-0.015625007450580597
gcn,70,-0.0468750074505806
gcn,71,-0.03125
gcn,72,0.015625
gcn,73,-0.046875
gcn,74,0.0
gcn,75,-0.03125
gcn,76,0.0
gcn,77,-0.0625
gcn,78,-0.0625
gcn,79,0.0
gcn,80,-0.015625
gcn,81,-0.09375
gcn,82,0.015625
gcn,83,0.0625
gcn,84,0.046875
gcn,85,0.078125
gcn,86,-7.450580596923828e-09
gcn,87,-0.03125
gcn,88,0.0
gcn,89,0.078125
gcn,90,0.015625
gcn,91,0.0
gcn,92,0.046875
gcn,93,0.0
gcn,94,0.0
gcn,95,0.015625
gcn,96,0.015625
gcn,97,-0.0312500074505806
gcn,98,-0.0625
gcn,99,-0.0625
kriging,0,-0.015625007450580597
kriging,1,0.0
kriging,2,-0.078125
kriging,3,-0.046875
kriging,4,0.015625
kriging,5,-0.031249992549419403
kriging,6,0.0
kriging,7,-0.0624999925494194
kriging,8,-0.09375
kriging,9,-0.09375
kriging,10,-0.046875
kriging,11,-0.0624999925494194
kriging,12,-0.015625007450580597
kriging,13,-0.0312500074505806
kriging,14,-0.015625
kriging,15,-0.015624992549419403
kriging,16,-0.046875
kriging,17,-0.015625
kriging,18,0.0
kriging,19,-0.015625
kriging,20,0.0
kriging,21,-0.015625
kriging,22,-0.0625
kriging,23,0.015625
kriging,24,-0.046875
kriging,25,-0.0937500074505806
kriging,26,0.0
kriging,27,0.03125
kriging,28,-0.0625
kriging,29,-0.015625
kriging,30,-0.015625
kriging,31,-7.450580596923828e-09
kriging,32,-0.03125
kriging,33,2.2351741790771484e-08
kriging,34,-0.046875
kriging,35,2.9802322387695312e-08
kriging,36,0.015625029802322388
kriging,37,-0.015625007450580597
kriging,38,-0.015625
kriging,39,-0.031249970197677612
kriging,40,-0.0625
kriging,41,-0.0468749925494194
kriging,42,-0.09375
kriging,43,7.450580596923828e-09
kriging,44,-0.03125
kriging,45,0.015625007450580597
kriging,46,-0.015625
kriging,47,-0.109375
kriging,48,7.450580596923828e-09
kriging,49,-0.015625
kriging,50,7.450580596923828e-09
kriging,51,-0.015624992549419403
kriging,52,0.015625
kriging,53,-0.03125
kriging,54,-0.09375
kriging,55,-0.015625
kriging,56,-0.015625
kriging,57,-0.015625
kriging,58,0.015625029802322388
kriging,59,-0.0625
kriging,60,-0.078125
kriging,61,-0.0781249925494194
kriging,62,-0.046875
kriging,63,-0.0468749962747097
kriging,64,-0.078125
kriging,65,0.015625
kriging,66,-0.031249992549419403
kriging,67,-0.015625007450580597
kriging,68,-0.0937499925494194
kriging,69,-0.015625
kriging,70,-0.03125
kriging,71,-0.078125
kriging,72,-0.0624999925494194
kriging,73,0.0
kriging,74,0.03125
kriging,75,-0.046875
kriging,76,-0.046875
kriging,77,-0.015625
kriging,78,-0.03125
kriging,79,-0.015624992549419403
kriging,80,-0.03125
kriging,81,-0.09375
kriging,82,-0.0625
kriging,83,0.0
kriging,84,-7.450580596923828e-09
kriging,85,0.03125
kriging,86,-0.015624970197677612
kriging,87,-0.031249992549419403
kriging,88,-0.046875
kriging,89,0.046875
kriging,90,2.9802322387695312e-08
kriging,91,-0.015625
kriging,92,0.015625037252902985
kriging,93,-0.031249992549419403
kriging,94,-0.015625007450580597
kriging,95,-0.0624999925494194
kriging,96,-0.078125
kriging,97,-0.0625
kriging,98,-0.03125
kriging,99,-0.046875
resnet,0,0.046875
resnet,1,-0.0312500074505806
resnet,2,-0.0312500074505806
resnet,3,-0.09375
resnet,4,0.03125
resnet,5,-0.0468749925494194
resnet,6,0.0
resnet,7,-0.015625007450580597
resnet,8,-0.046875
resnet,9,-0.015625007450580597
resnet,10,0.0
resnet,11,-0.09375
resnet,12,-1.4901161193847656e-08
resnet,13,0.0
resnet,14,0.046875014901161194
resnet,15,0.0156250037252903
