heldout_source,kind,seed,addition_effect,all_layer_ablation_reduction
bert,learned,-1,0.125,-7.450580596923828e-09
bert,random,0,0.0,-0.09375
bert,random,1,-0.0781250037252903,-0.0625
bert,random,2,-0.078125,0.03125
bert,random,3,-0.109375,-0.062499985098838806
bert,random,4,-0.03125,-0.1875
bert,random,5,-0.03125,-0.03125
bert,random,6,-0.015625,-0.09375
bert,random,7,-0.0625,-0.125
bert,random,8,-0.078125,-0.03124997764825821
bert,random,9,-0.0625,0.0625
bert,random,10,-0.0937499925494194,-0.062499985098838806
bert,random,11,-0.078125,-0.0625000149011612
bert,random,12,-0.0937500074505806,0.0
bert,random,13,-0.046875,-0.0625
bert,random,14,-0.015625,-0.0937500149011612
bert,random,15,-0.0625000074505806,-0.125
bert,random,16,-0.015625,-0.031250014901161194
bert,random,17,-0.015625007450580597,0.09375
bert,random,18,-0.015625,-0.0625
bert,random,19,0.0312500074505806,0.1250000149011612
ddpm,learned,-1,0.1562500298023224,0.3125
ddpm,random,0,0.015625,-0.03125
ddpm,random,1,0.046875,-0.03125
ddpm,random,2,0.015624992549419403,0.0625
ddpm,random,3,-0.015625,0.09375
ddpm,random,4,-0.03125,0.15625
ddpm,random,5,0.0,0.03125
ddpm,random,6,0.0625,0.0
ddpm,random,7,0.03125,-0.03125
ddpm,random,8,0.03125,0.0
ddpm,random,9,0.0,0.0625
ddpm,random,10,0.0,0.125
ddpm,random,11,-0.015625,0.0625
ddpm,random,12,0.0625,0.0625
ddpm,random,13,0.03125,0.0625
ddpm,random,14,0.078125,0.03125
ddpm,random,15,-0.0312500074505806,0.09375
ddpm,random,16,0.0624999925494194,0.0
ddpm,random,17,0.0,0.0
ddpm,random,18,0.015625,0.0625
ddpm,random,19,0.015625,0.09375
gcn,learned,-1,0.25,0.15625
gcn,random,0,0.0625,-0.03125
gcn,random,1,-0.015625,-0.0625
gcn,random,2,-0.0937500074505806,-0.0625
gcn,random,3,-0.0625000074505806,-1.4901161193847656e-08
gcn,random,4,0.03125,0.03125
gcn,random,5,-0.03125,-0.03125
gcn,random,6,0.03125,-0.0625000149011612
gcn,random,7,-0.015624992549419403,0.03125
gcn,random,8,-0.046875,-0.03125
gcn,random,9,0.03125,-0.0625
gcn,random,10,0.0,0.0625
gcn,random,11,-0.0625,0.031249985098838806
gcn,random,12,-0.015625,-0.03125
gcn,random,13,0.0,-0.0625
gcn,random,14,0.0625,-0.09375
gcn,random,15,0.0,-0.03125
gcn,random,16,-0.015625,0.0
gcn,random,17,-0.03125,0.03125
gcn,random,18,0.0,-0.0625
gcn,random,19,0.0,0.0
kriging,learned,-1,0.109375,0.125
kriging,random,0,-0.015625007450580597,-0.15625
kriging,random,1,0.0,-0.03125
kriging,random,2,-0.078125,-0.0625
kriging,random,3,-0.046875,-0.03125
kriging,random,4,0.015625,-0.09375
kriging,random,5,-0.031249992549419403,-0.031249992549419403
kriging,random,6,0.0,0.0625
kriging,random,7,-0.0624999925494194,-0.125
kriging,random,8,-0.09375,0.0
kriging,random,9,-0.09375,0.0
kriging,random,10,-0.046875,-0.1562499701976776
kriging,random,11,-0.0624999925494194,0.03125
kriging,random,12,-0.015625007450580597,-0.031249940395355225
kriging,random,13,-0.0312500074505806,-0.0625
kriging,random,14,-0.015625,-0.0625
kriging,random,15,-0.015624992549419403,-0.09375
kriging,random,16,-0.046875,-0.0625
kriging,random,17,-0.015625,-0.125
kriging,random,18,0.0,-0.09375
kriging,random,19,-0.015625,0.0625
resnet,learned,-1,0.15625,0.062499985098838806
resnet,random,0,0.046875,0.031249970197677612
resnet,random,1,-0.0312500074505806,0.0
resnet,random,2,-0.0312500074505806,0.0
resnet,random,3,-0.09375,-0.09375
resnet,random,4,0.03125,-0.03125
resnet,random,5,-0.0468749925494194,-0.1562499701976776
resnet,random,6,0.0,-0.03125
resnet,random,7,-0.015625007450580597,0.031249985098838806
resnet,random,8,-0.046875,0.062499985098838806
resnet,random,9,-0.015625007450580597,0.0
resnet,random,10,0.0,-0.03125
resnet,random,11,-0.09375,0.0
resnet,random,12,-1.4901161193847656e-08,-0.03125
resnet,random,13,0.0,1.4901161193847656e-08
resnet,random,14,0.046875014901161194,0.0625
resnet,random,15,0.0156250037252903,-0.031249985098838806
resnet,random,16,0.015625,1.4901161193847656e-08
resnet,random,17,-0.0468749925494194,0.031249970197677612
