blind_code,example_id,condition,alpha
775ffbff4e68,driftgate:domain_expert:test:0,domain_expert,-2.0
bf199c4a40b3,driftgate:domain_expert:test:0,domain_expert,-1.0
1df307bc69a9,driftgate:domain_expert:test:0,domain_expert,0.0
d1836623bdb8,driftgate:domain_expert:test:0,domain_expert,1.0
169eb9eb929b,driftgate:domain_expert:test:0,domain_expert,2.0
0a1d686bedbc,driftgate:domain_expert:test:1,domain_expert,-2.0
3e12ec40b11d,driftgate:domain_expert:test:1,domain_expert,-1.0
576cec6537db,driftgate:domain_expert:test:1,domain_expert,0.0
764db802a906,driftgate:domain_expert:test:1,domain_expert,1.0
1e57882dec11,driftgate:domain_expert:test:1,domain_expert,2.0
52dd0090d34a,driftgate:matched_other_expert:test:0,matched_other_expert,-2.0
75a09aaf00d6,driftgate:matched_other_expert:test:0,matched_other_expert,-1.0
0173f0557f5b,driftgate:matched_other_expert:test:0,matched_other_expert,0.0
237f5b50d4ae,driftgate:matched_other_expert:test:0,matched_other_expert,1.0
ccafad3efdde,driftgate:matched_other_expert:test:0,matched_other_expert,2.0
ecce805743fd,driftgate:matched_other_expert:test:1,matched_other_expert,-2.0
3c602f20a487,driftgate:matched_other_expert:test:1,matched_other_expert,-1.0
f4dd3ea59ac1,driftgate:matched_other_expert:test:1,matched_other_expert,0.0
219abeb2fc68,driftgate:matched_other_expert:test:1,matched_other_expert,1.0
f3a30f495ce5,driftgate:matched_other_expert:test:1,matched_other_expert,2.0
b34c611c3255,fluxpatch:domain_expert:test:0,domain_expert,-2.0
a1f779adcbcb,fluxpatch:domain_expert:test:0,domain_expert,-1.0
65b2b4216b98,fluxpatch:domain_expert:test:0,domain_expert,0.0
57c21f72def1,fluxpatch:domain_expert:test:0,domain_expert,1.0
f74363e2a21d,fluxpatch:domain_expert:test:0,domain_expert,2.0
efd34e42670f,fluxpatch:domain_expert:test:1,domain_expert,-2.0
de9f48450e72,fluxpatch:domain_expert:test:1,domain_expert,-1.0
12b3c1243352,fluxpatch:domain_expert:test:1,domain_expert,0.0
8b5b1c0fd2dd,fluxpatch:domain_expert:test:1,domain_expert,1.0
e0ee0c85b782,fluxpatch:domain_expert:test:1,domain_expert,2.0
9564b40599b1,fluxpatch:matched_other_expert:test:0,matched_other_expert,-2.0
add9d2e1ea71,fluxpatch:matched_other_expert:test:0,matched_other_expert,-1.0
98b3d549f532,fluxpatch:matched_other_expert:test:0,matched_other_expert,0.0
8ca9f3fa0305,fluxpatch:matched_other_expert:test:0,matched_other_expert,1.0
bdc61703fe11,fluxpatch:matched_other_expert:test:0,matched_other_expert,2.0
b6a8c77a5f3b,fluxpatch:matched_other_expert:test:1,matched_other_expert,-2.0
b157cd546017,fluxpatch:matched_other_expert:test:1,matched_other_expert,-1.0
5cd0e45aa46e,fluxpatch:matched_other_expert:test:1,matched_other_expert,0.0
8529da95d3d0,fluxpatch:matched_other_expert:test:1,matched_other_expert,1.0
f08ea0f1cc42,fluxpatch:matched_other_expert:test:1,matched_other_expert,2.0
5c57313fdcb9,anchorshift:domain_expert:test:0,domain_expert,-2.0
cc9cb6f2dcc1,anchorshift:domain_expert:test:0,domain_expert,-1.0
a9810f78d9c4,anchorshift:domain_expert:test:0,domain_expert,0.0
c5df536f3fcf,anchorshift:domain_expert:test:0,domain_expert,1.0
6f806d987902,anchorshift:domain_expert:test:0,domain_expert,2.0
30beced18972,anchorshift:domain_expert:test:1,domain_expert,-2.0
912f53597f17,anchorshift:domain_expert:test:1,domain_expert,-1.0
133f3e702aea,anchorshift:domain_expert:test:1,domain_expert,0.0
aa6d9ebd45cd,anchorshift:domain_expert:test:1,domain_expert,1.0
f51f32a1ccf2,anchorshift:domain_expert:test:1,domain_expert,2.0
8d8d8af3a6a8,anchorshift:matched_other_expert:test:0,matched_other_expert,-2.0
fdf2d7d6d3ef,anchorshift:matched_other_expert:test:0,matched_other_expert,-1.0
a71201dd125b,anchorshift:matched_other_expert:test:0,matched_other_expert,0.0
d500918ae29c,anchorshift:matched_other_expert:test:0,matched_other_expert,1.0
fee6d7d92e6b,anchorshift:matched_other_expert:test:0,matched_other_expert,2.0
777f4d499b09,anchorshift:matched_other_expert:test:1,matched_other_expert,-2.0
c15c48c8bdc9,anchorshift:matched_other_expert:test:1,matched_other_expert,-1.0
09b3cf1469b1,anchorshift:matched_other_expert:test:1,matched_other_expert,0.0
799023fd9dbb,anchorshift:matched_other_expert:test:1,matched_other_expert,1.0
0ba3adcdd69c,anchorshift:matched_other_expert:test:1,matched_other_expert,2.0
8957891a4261,shardbloom:domain_expert:test:0,domain_expert,-2.0
75b494728937,shardbloom:domain_expert:test:0,domain_expert,-1.0
511800e3014e,shardbloom:domain_expert:test:0,domain_expert,0.0
39ace0116215,shardbloom:domain_expert:test:0,domain_expert,1.0
b023458955ad,shardbloom:domain_expert:test:0,domain_expert,2.0
da4ad6437454,shardbloom:domain_expert:test:1,domain_expert,-2.0
59a8a45a2cc3,shardbloom:domain_expert:test:1,domain_expert,-1.0
8744557c691d,shardbloom:domain_expert:test:1,domain_expert,0.0
25e4674da4a4,shardbloom:domain_expert:test:1,domain_expert,1.0
7f7184aad889,shardbloom:domain_expert:test:1,domain_expert,2.0
0197e7abaf82,shardbloom:matched_other_expert:test:0,matched_other_expert,-2.0
6277676a156f,shardbloom:matched_other_expert:test:0,matched_other_expert,-1.0
24ecf035db0e,shardbloom:matched_other_expert:test:0,matched_other_expert,0.0
bfbc7031c4fb,shardbloom:matched_other_expert:test:0,matched_other_expert,1.0
2e1bc94ad025,shardbloom:matched_other_expert:test:0,matched_other_expert,2.0
f160f36e3018,shardbloom:matched_other_expert:test:1,matched_other_expert,-2.0
51ef265d2d44,shardbloom:matched_other_expert:test:1,matched_other_expert,-1.0
d95a9b31a37f,shardbloom:matched_other_expert:test:1,matched_other_expert,0.0
7840743e36a5,shardbloom:matched_other_expert:test:1,matched_other_expert,1.0
f3bddba45c62,shardbloom:matched_other_expert:test:1,matched_other_expert,2.0
0645586aad45,motifbridge:domain_expert:test:0,domain_expert,-2.0
ddf6b63a0c42,motifbridge:domain_expert:test:0,domain_expert,-1.0
58f1a53d8914,motifbridge:domain_expert:test:0,domain_expert,0.0
24046b05424b,motifbridge:domain_expert:test:0,domain_expert,1.0
4a506f631c25,motifbridge:domain_expert:test:0,domain_expert,2.0
1667b02351e3,motifbridge:domain_expert:test:1,domain_expert,-2.0
02541037dc8b,motifbridge:domain_expert:test:1,domain_expert,-1.0
76e7b876c70d,motifbridge:domain_expert:test:1,domain_expert,0.0
1d3c3008a9fc,motifbridge:domain_expert:test:1,domain_expert,1.0
4b34d207400a,motifbridge:domain_expert:test:1,domain_expert,2.0
6eb2980ac1e2,motifbridge:matched_other_expert:test:0,matched_other_expert,-2.0
667c0e443929,motifbridge:matched_other_expert:test:0,matched_other_expert,-1.0
6beeda525405,motifbridge:matched_other_expert:test:0,matched_other_expert,0.0
0346ed286337,motifbridge:matched_other_expert:test:0,matched_other_expert,1.0
be3d67ef291c,motifbridge:matched_other_expert:test:0,matched_other_expert,2.0
9d2f5f2c1e3b,motifbridge:matched_other_expert:test:1,matched_other_expert,-2.0
2b3dd044886c,motifbridge:matched_other_expert:test:1,matched_other_expert,-1.0
4d3e34e091f6,motifbridge:matched_other_expert:test:1,matched_other_expert,0.0
a638724ed6ed,motifbridge:matched_other_expert:test:1,matched_other_expert,1.0
b0d7041e6288,motifbridge:matched_other_expert:test:1,matched_other_expert,2.0
8d6305545568,phasesar:domain_expert:test:0,domain_expert,-2.0
11c4b8315a48,phasesar:domain_expert:test:0,domain_expert,-1.0
7c8aedc91cbd,phasesar:domain_expert:test:0,domain_expert,0.0
cf60a376c551,phasesar:domain_expert:test:0,domain_expert,1.0
cff5cc44bacc,phasesar:domain_expert:test:0,domain_expert,2.0
fcb5be141ea8,phasesar:domain_expert:test:1,domain_expert,-2.0
6bf7b7751cf9,phasesar:domain_expert:test:1,domain_expert,-1.0
673b357a6427,phasesar:domain_expert:test:1,domain_expert,0.0
9587c23fc772,phasesar:domain_expert:test:1,domain_expert,1.0
26880cf8ea21,phasesar:domain_expert:test:1,domain_expert,2.0
8d9224d6ef97,phasesar:matched_other_expert:test:0,matched_other_expert,-2.0
5bc154b7659d,phasesar:matched_other_expert:test:0,matched_other_expert,-1.0
38b67d04da78,phasesar:matched_other_expert:test:0,matched_other_expert,0.0
84811297ac32,phasesar:matched_other_expert:test:0,matched_other_expert,1.0
a522d2a6a9d1,phasesar:matched_other_expert:test:0,matched_other_expert,2.0
ff39e79cfaa3,phasesar:matched_other_expert:test:1,matched_other_expert,-2.0
0b102b137008,phasesar:matched_other_expert:test:1,matched_other_expert,-1.0
