metric,condition,source_id,alpha_-2,alpha_-1,alpha_0,alpha_1,alpha_2,plus2_minus_minus2,linear_slope
term_coverage,pooled,anchorshift,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.25,0.2,0.04999999999999999,0.019999999999999997
term_coverage,pooled,driftgate,0.8,0.8,0.8,0.8,0.8,0.0,0.0
term_coverage,pooled,fluxpatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term_coverage,pooled,motifbridge,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.035714285714285754,0.010714285714285727
term_coverage,pooled,phasenest,0.6249999999999999,0.5833333333333333,0.5,0.6249999999999999,0.625,1.1102230246251565e-16,0.004166666666666685
term_coverage,pooled,phasesar,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
term_coverage,pooled,quorumweave,0.5,0.5,0.5,0.5,0.5,0.0,0.0
term_coverage,pooled,shardbloom,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,-0.004999999999999999
term_coverage,domain_expert,anchorshift,0.1,0.1,0.1,0.2,0.2,0.1,0.030000000000000006
term_coverage,domain_expert,driftgate,0.8,0.8,0.8,0.8,0.8,0.0,0.0
term_coverage,domain_expert,fluxpatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term_coverage,domain_expert,motifbridge,0.42857142857142855,0.42857142857142855,0.5,0.5,0.5,0.07142857142857145,0.021428571428571436
term_coverage,domain_expert,phasenest,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6666666666666666,0.08333333333333337,0.016666666666666673
term_coverage,domain_expert,phasesar,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
term_coverage,domain_expert,quorumweave,0.5,0.5,0.5,0.5,0.5,0.0,0.0
term_coverage,domain_expert,shardbloom,0.2,0.2,0.2,0.2,0.2,0.0,0.0
term_coverage,matched_other_expert,anchorshift,0.2,0.2,0.2,0.30000000000000004,0.2,0.0,0.010000000000000004
term_coverage,matched_other_expert,driftgate,0.8,0.8,0.8,0.8,0.8,0.0,0.0
term_coverage,matched_other_expert,fluxpatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term_coverage,matched_other_expert,motifbridge,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0
term_coverage,matched_other_expert,phasenest,0.6666666666666666,0.5833333333333333,0.41666666666666663,0.6666666666666666,0.5833333333333333,-0.08333333333333337,-0.008333333333333337
term_coverage,matched_other_expert,phasesar,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
term_coverage,matched_other_expert,quorumweave,0.5,0.5,0.5,0.5,0.5,0.0,0.0
term_coverage,matched_other_expert,shardbloom,0.1,0.2,0.1,0.1,0.1,0.0,-0.01
word_count,pooled,anchorshift,71.25,73.75,67.25,73.5,72.25,1.0,0.175
word_count,pooled,driftgate,69.75,69.0,71.0,72.25,68.0,-1.75,-0.025
word_count,pooled,fluxpatch,61.0,57.25,57.25,60.5,56.0,-5.0,-0.675
word_count,pooled,motifbridge,64.0,64.5,60.75,61.0,59.25,-4.75,-1.3
word_count,pooled,phasenest,58.5,59.0,60.25,62.5,62.25,3.75,1.1
word_count,pooled,phasesar,51.0,51.0,48.75,48.75,48.75,-2.25,-0.675
word_count,pooled,quorumweave,71.0,71.25,66.75,58.5,58.5,-12.5,-3.775
word_count,pooled,shardbloom,64.75,65.0,65.25,64.5,61.75,-3.0,-0.65
word_count,domain_expert,anchorshift,66.0,71.0,58.0,71.0,65.5,-0.5,-0.1
word_count,domain_expert,driftgate,69.5,68.0,68.5,68.0,68.5,-1.0,-0.2
word_count,domain_expert,fluxpatch,53.0,53.0,53.0,53.0,53.0,0.0,0.0
word_count,domain_expert,motifbridge,65.0,65.5,58.5,53.0,51.0,-14.0,-4.05
word_count,domain_expert,phasenest,63.0,66.0,66.0,66.0,66.5,3.5,0.7
word_count,domain_expert,phasesar,53.5,53.5,47.5,47.5,47.5,-6.0,-1.8
word_count,domain_expert,quorumweave,73.0,73.5,73.0,65.0,65.0,-8.0,-2.45
word_count,domain_expert,shardbloom,59.5,60.0,59.5,60.0,60.0,0.5,0.1
word_count,matched_other_expert,anchorshift,76.5,76.5,76.5,76.0,79.0,2.5,0.45
word_count,matched_other_expert,driftgate,70.0,70.0,73.5,76.5,67.5,-2.5,0.15
word_count,matched_other_expert,fluxpatch,69.0,61.5,61.5,68.0,59.0,-10.0,-1.35
word_count,matched_other_expert,motifbridge,63.0,63.5,63.0,69.0,67.5,4.5,1.45
word_count,matched_other_expert,phasenest,54.0,52.0,54.5,59.0,58.0,4.0,1.5
word_count,matched_other_expert,phasesar,48.5,48.5,50.0,50.0,50.0,1.5,0.45
word_count,matched_other_expert,quorumweave,69.0,69.0,60.5,52.0,52.0,-17.0,-5.1
word_count,matched_other_expert,shardbloom,70.0,70.0,71.0,69.0,63.5,-6.5,-1.4
