encoding,source,addition_effect
A/B,anchorshift,0.2500000149011612
A/B,driftgate,0.15625
A/B,fluxpatch,0.15625
A/B,motifbridge,0.0937499925494194
A/B,phasenest,0.0937499925494194
A/B,phasesar,0.1875
A/B,quorumweave,0.15625
A/B,shardbloom,0.1562500149011612
X/Y,anchorshift,0.3125000149011612
X/Y,driftgate,0.2031250149011612
X/Y,fluxpatch,0.21875
X/Y,motifbridge,0.1250000074505806
X/Y,phasenest,0.0937499925494194
X/Y,phasesar,0.1406249850988388
X/Y,quorumweave,0.1562500074505806
X/Y,shardbloom,0.1718749925494194
1/2,anchorshift,0.265625037252903
1/2,driftgate,0.1718749850988388
1/2,fluxpatch,0.2499999850988388
1/2,motifbridge,0.1093750149011612
1/2,phasenest,0.125
1/2,phasesar,0.1875000074505806
1/2,quorumweave,0.1875000074505806
1/2,shardbloom,0.171875
