kind,seed,source,addition_effect,aggregate_mean
random,0,anchorshift,-0.015625014901161194,-0.0019531259313225746
random,0,driftgate,1.4901161193847656e-08,-0.0019531259313225746
random,0,fluxpatch,0.015625,-0.0019531259313225746
random,0,motifbridge,-2.2351741790771484e-08,-0.0019531259313225746
random,0,phasenest,0.015625,-0.0019531259313225746
random,0,phasesar,0.0,-0.0019531259313225746
random,0,quorumweave,-0.03125,-0.0019531259313225746
random,0,shardbloom,1.4901161193847656e-08,-0.0019531259313225746
random,1,anchorshift,-0.03125002980232239,-0.013671879656612873
random,1,driftgate,-0.03125,-0.013671879656612873
random,1,fluxpatch,0.0,-0.013671879656612873
random,1,motifbridge,0.015624985098838806,-0.013671879656612873
random,1,phasenest,-0.01562502235174179,-0.013671879656612873
random,1,phasesar,0.0,-0.013671879656612873
random,1,quorumweave,-0.015625,-0.013671879656612873
random,1,shardbloom,-0.031249970197677612,-0.013671879656612873
random,2,anchorshift,-0.0625,-0.04882812732830644
random,2,driftgate,-0.078125,-0.04882812732830644
random,2,fluxpatch,-0.0625000074505806,-0.04882812732830644
random,2,motifbridge,-1.4901161193847656e-08,-0.04882812732830644
random,2,phasenest,-0.0312499962747097,-0.04882812732830644
random,2,phasesar,-0.015625014901161194,-0.04882812732830644
random,2,quorumweave,-0.046875,-0.04882812732830644
random,2,shardbloom,-0.0937499850988388,-0.04882812732830644
random,3,anchorshift,-0.078125,-0.046874997206032276
random,3,driftgate,-0.09375,-0.046874997206032276
random,3,fluxpatch,-0.0625,-0.046874997206032276
random,3,motifbridge,0.015624985098838806,-0.046874997206032276
random,3,phasenest,7.450580596923828e-09,-0.046874997206032276
random,3,phasesar,-0.031249970197677612,-0.046874997206032276
random,3,quorumweave,-0.0625,-0.046874997206032276
random,3,shardbloom,-0.0625,-0.046874997206032276
random,4,anchorshift,-0.015624985098838806,0.01171875186264515
random,4,driftgate,7.450580596923828e-09,0.01171875186264515
random,4,fluxpatch,0.03125,0.01171875186264515
random,4,motifbridge,0.031249985098838806,0.01171875186264515
random,4,phasenest,-0.015625007450580597,0.01171875186264515
random,4,phasesar,0.015625,0.01171875186264515
random,4,quorumweave,0.015625,0.01171875186264515
random,4,shardbloom,0.031250014901161194,0.01171875186264515
random,5,anchorshift,-0.031250014901161194,-0.017578130587935448
random,5,driftgate,-0.03125,-0.017578130587935448
random,5,fluxpatch,-0.015625007450580597,-0.017578130587935448
random,5,motifbridge,-0.03125002980232239,-0.017578130587935448
random,5,phasenest,-0.0468750074505806,-0.017578130587935448
random,5,phasesar,0.015625,-0.017578130587935448
random,5,quorumweave,0.015625,-0.017578130587935448
random,5,shardbloom,-0.015624985098838806,-0.017578130587935448
random,6,anchorshift,0.031249985098838806,0.015625002328306437
random,6,driftgate,-0.03125,0.015625002328306437
random,6,fluxpatch,7.450580596923828e-09,0.015625002328306437
random,6,motifbridge,0.015624985098838806,0.015625002328306437
random,6,phasenest,0.0312500037252903,0.015625002328306437
random,6,phasesar,0.015625007450580597,0.015625002328306437
random,6,quorumweave,0.046875,0.015625002328306437
random,6,shardbloom,0.015625029802322388,0.015625002328306437
random,7,anchorshift,-0.03125002980232239,-0.029296875931322575
random,7,driftgate,-0.0468749925494194,-0.029296875931322575
random,7,fluxpatch,0.015625,-0.029296875931322575
random,7,motifbridge,0.015625,-0.029296875931322575
random,7,phasenest,-0.046875,-0.029296875931322575
random,7,phasesar,-0.03125,-0.029296875931322575
random,7,quorumweave,-0.0625,-0.029296875931322575
random,7,shardbloom,-0.046874985098838806,-0.029296875931322575
random,8,anchorshift,-0.015625029802322388,-0.005859379656612873
random,8,driftgate,-0.046875,-0.005859379656612873
random,8,fluxpatch,-0.015625,-0.005859379656612873
random,8,motifbridge,0.03124997764825821,-0.005859379656612873
random,8,phasenest,0.015624985098838806,-0.005859379656612873
random,8,phasesar,-0.03125,-0.005859379656612873
random,8,quorumweave,-0.015625,-0.005859379656612873
random,8,shardbloom,0.03125002980232239,-0.005859379656612873
random,9,anchorshift,-0.031250014901161194,-0.01171875
random,9,driftgate,-0.046875,-0.01171875
random,9,fluxpatch,-0.031249992549419403,-0.01171875
random,9,motifbridge,0.015624992549419403,-0.01171875
random,9,phasenest,-0.015625,-0.01171875
random,9,phasesar,0.0,-0.01171875
random,9,quorumweave,0.0,-0.01171875
random,9,shardbloom,0.015625014901161194,-0.01171875
random,10,anchorshift,-0.031249985098838806,-0.00976562313735485
random,10,driftgate,-0.03125,-0.00976562313735485
random,10,fluxpatch,0.0,-0.00976562313735485
random,10,motifbridge,0.015624985098838806,-0.00976562313735485
random,10,phasenest,-0.015625,-0.00976562313735485
random,10,phasesar,0.03125,-0.00976562313735485
random,10,quorumweave,-0.015625,-0.00976562313735485
random,10,shardbloom,-0.031249985098838806,-0.00976562313735485
random,11,anchorshift,-0.0937500149011612,-0.06640625046566129
random,11,driftgate,-0.0624999925494194,-0.06640625046566129
random,11,fluxpatch,-0.078125,-0.06640625046566129
random,11,motifbridge,-0.0625000149011612,-0.06640625046566129
random,11,phasenest,-0.0312499962747097,-0.06640625046566129
random,11,phasesar,-0.0625,-0.06640625046566129
random,11,quorumweave,-0.09375,-0.06640625046566129
random,11,shardbloom,-0.046874985098838806,-0.06640625046566129
random,12,anchorshift,-0.031250014901161194,-0.011718757450580597
random,12,driftgate,-0.015625,-0.011718757450580597
random,12,fluxpatch,0.0,-0.011718757450580597
random,12,motifbridge,-0.015625029802322388,-0.011718757450580597
random,12,phasenest,-7.450580596923828e-09,-0.011718757450580597
random,12,phasesar,-0.0312500074505806,-0.011718757450580597
random,12,quorumweave,-0.015625,-0.011718757450580597
random,12,shardbloom,0.015625,-0.011718757450580597
random,13,anchorshift,0.015625,0.005859372206032276
random,13,driftgate,-7.450580596923828e-09,0.005859372206032276
random,13,fluxpatch,-0.015625,0.005859372206032276
random,13,motifbridge,0.04687498137354851,0.005859372206032276
random,13,phasenest,3.725290298461914e-09,0.005859372206032276
random,13,phasesar,0.0,0.005859372206032276
random,13,quorumweave,0.0,0.005859372206032276
random,13,shardbloom,0.0,0.005859372206032276
random,14,anchorshift,0.046875,0.05273437732830644
random,14,driftgate,0.046875,0.05273437732830644
random,14,fluxpatch,0.046875,0.05273437732830644
random,14,motifbridge,0.03124997764825821,0.05273437732830644
random,14,phasenest,0.078125,0.05273437732830644
random,14,phasesar,0.0781250111758709,0.05273437732830644
random,14,quorumweave,0.0625,0.05273437732830644
random,14,shardbloom,0.03125002980232239,0.05273437732830644
random,15,anchorshift,-0.015625014901161194,-0.011718753725290298
random,15,driftgate,-0.031249992549419403,-0.011718753725290298
random,15,fluxpatch,0.0,-0.011718753725290298
random,15,motifbridge,0.015624985098838806,-0.011718753725290298
random,15,phasenest,-0.03125,-0.011718753725290298
random,15,phasesar,-0.015625007450580597,-0.011718753725290298
random,15,quorumweave,-0.015625,-0.011718753725290298
random,15,shardbloom,0.0,-0.011718753725290298
random,16,anchorshift,0.015624970197677612,0.007812498137354851
random,16,driftgate,0.0,0.007812498137354851
random,16,fluxpatch,-7.450580596923828e-09,0.007812498137354851
random,16,motifbridge,0.015624992549419403,0.007812498137354851
random,16,phasenest,-0.031249985098838806,0.007812498137354851
random,16,phasesar,0.046875,0.007812498137354851
random,16,quorumweave,0.0,0.007812498137354851
random,16,shardbloom,0.015625014901161194,0.007812498137354851
random,17,anchorshift,-0.015625014901161194,-0.01953125
