encoding,source,condition,alpha,technical_margin
A/B,anchorshift,domain_expert,-2.0,1.8437499701976776
A/B,anchorshift,matched_other_expert,-2.0,1.6875
A/B,driftgate,domain_expert,-2.0,1.46875
A/B,driftgate,matched_other_expert,-2.0,0.9375
A/B,fluxpatch,domain_expert,-2.0,2.15625
A/B,fluxpatch,matched_other_expert,-2.0,1.375
A/B,motifbridge,domain_expert,-2.0,0.375
A/B,motifbridge,matched_other_expert,-2.0,0.1874999925494194
A/B,phasenest,domain_expert,-2.0,1.375
A/B,phasenest,matched_other_expert,-2.0,0.59375
A/B,phasesar,domain_expert,-2.0,1.3749999925494194
A/B,phasesar,matched_other_expert,-2.0,0.8437500298023224
A/B,quorumweave,domain_expert,-2.0,1.3125
A/B,quorumweave,matched_other_expert,-2.0,0.7500000298023224
A/B,shardbloom,domain_expert,-2.0,1.34375
A/B,shardbloom,matched_other_expert,-2.0,0.75
A/B,anchorshift,domain_expert,-1.0,2.0937499403953552
A/B,anchorshift,matched_other_expert,-1.0,1.875
A/B,driftgate,domain_expert,-1.0,1.625
A/B,driftgate,matched_other_expert,-1.0,1.0625
A/B,fluxpatch,domain_expert,-1.0,2.34375
A/B,fluxpatch,matched_other_expert,-1.0,1.59375
A/B,motifbridge,domain_expert,-1.0,0.46875
A/B,motifbridge,matched_other_expert,-1.0,0.25
A/B,phasenest,domain_expert,-1.0,1.46875
A/B,phasenest,matched_other_expert,-1.0,0.5937500074505806
A/B,phasesar,domain_expert,-1.0,1.59375
A/B,phasesar,matched_other_expert,-1.0,0.96875
A/B,quorumweave,domain_expert,-1.0,1.46875
A/B,quorumweave,matched_other_expert,-1.0,0.875
A/B,shardbloom,domain_expert,-1.0,1.5
A/B,shardbloom,matched_other_expert,-1.0,0.875
A/B,anchorshift,domain_expert,0.0,2.3125
A/B,anchorshift,matched_other_expert,0.0,2.0937500298023224
A/B,driftgate,domain_expert,0.0,1.8125
A/B,driftgate,matched_other_expert,0.0,1.28125
A/B,fluxpatch,domain_expert,0.0,2.53125
A/B,fluxpatch,matched_other_expert,0.0,1.75
A/B,motifbridge,domain_expert,0.0,0.5624999850988388
A/B,motifbridge,matched_other_expert,0.0,0.2812500149011612
A/B,phasenest,domain_expert,0.0,1.65625
A/B,phasenest,matched_other_expert,0.0,0.71875
A/B,phasesar,domain_expert,0.0,1.78125
A/B,phasesar,matched_other_expert,0.0,1.09375
A/B,quorumweave,domain_expert,0.0,1.625
A/B,quorumweave,matched_other_expert,0.0,0.96875
A/B,shardbloom,domain_expert,0.0,1.65625
A/B,shardbloom,matched_other_expert,0.0,0.9999999701976776
A/B,anchorshift,domain_expert,1.0,2.59375
A/B,anchorshift,matched_other_expert,1.0,2.375
A/B,driftgate,domain_expert,1.0,2.03125
A/B,driftgate,matched_other_expert,1.0,1.40625
A/B,fluxpatch,domain_expert,1.0,2.75
A/B,fluxpatch,matched_other_expert,1.0,1.875
A/B,motifbridge,domain_expert,1.0,0.6875
A/B,motifbridge,matched_other_expert,1.0,0.3750000149011612
A/B,phasenest,domain_expert,1.0,1.84375
A/B,phasenest,matched_other_expert,1.0,0.7187499850988388
A/B,phasesar,domain_expert,1.0,1.9687499850988388
A/B,phasesar,matched_other_expert,1.0,1.28125
A/B,quorumweave,domain_expert,1.0,1.84375
A/B,quorumweave,matched_other_expert,1.0,1.125
A/B,shardbloom,domain_expert,1.0,1.78125
A/B,shardbloom,matched_other_expert,1.0,1.15625
A/B,anchorshift,domain_expert,2.0,2.8125
A/B,anchorshift,matched_other_expert,2.0,2.59375
A/B,driftgate,domain_expert,2.0,2.187499985098839
A/B,driftgate,matched_other_expert,2.0,1.59375
A/B,fluxpatch,domain_expert,2.0,2.9375
A/B,fluxpatch,matched_other_expert,2.0,2.09375
A/B,motifbridge,domain_expert,2.0,0.8125
A/B,motifbridge,matched_other_expert,2.0,0.4375
A/B,phasenest,domain_expert,2.0,2.0
A/B,phasenest,matched_other_expert,2.0,0.8125000298023224
A/B,phasesar,domain_expert,2.0,2.187500014901161
A/B,phasesar,matched_other_expert,2.0,1.40625
A/B,quorumweave,domain_expert,2.0,2.03125
A/B,quorumweave,matched_other_expert,2.0,1.25
A/B,shardbloom,domain_expert,2.0,1.96875
A/B,shardbloom,matched_other_expert,2.0,1.28125
X/Y,anchorshift,domain_expert,-2.0,2.281249985098839
X/Y,anchorshift,matched_other_expert,-2.0,2.1875
X/Y,driftgate,domain_expert,-2.0,1.875
X/Y,driftgate,matched_other_expert,-2.0,1.40625
X/Y,fluxpatch,domain_expert,-2.0,3.09375
X/Y,fluxpatch,matched_other_expert,-2.0,1.9062500298023224
X/Y,motifbridge,domain_expert,-2.0,0.4687499850988388
X/Y,motifbridge,matched_other_expert,-2.0,0.3125
X/Y,phasenest,domain_expert,-2.0,1.2812500149011612
X/Y,phasenest,matched_other_expert,-2.0,0.03125
X/Y,phasesar,domain_expert,-2.0,1.53125
X/Y,phasesar,matched_other_expert,-2.0,0.78125
X/Y,quorumweave,domain_expert,-2.0,1.40625
X/Y,quorumweave,matched_other_expert,-2.0,0.8750000149011612
X/Y,shardbloom,domain_expert,-2.0,1.4062500447034836
X/Y,shardbloom,matched_other_expert,-2.0,0.71875
X/Y,anchorshift,domain_expert,-1.0,2.53125
X/Y,anchorshift,matched_other_expert,-1.0,2.40625
X/Y,driftgate,domain_expert,-1.0,2.09375
X/Y,driftgate,matched_other_expert,-1.0,1.65625
X/Y,fluxpatch,domain_expert,-1.0,3.34375
X/Y,fluxpatch,matched_other_expert,-1.0,2.0625
X/Y,motifbridge,domain_expert,-1.0,0.53125
X/Y,motifbridge,matched_other_expert,-1.0,0.40625
X/Y,phasenest,domain_expert,-1.0,1.40625
X/Y,phasenest,matched_other_expert,-1.0,0.03125
X/Y,phasesar,domain_expert,-1.0,1.6875
X/Y,phasesar,matched_other_expert,-1.0,0.90625
X/Y,quorumweave,domain_expert,-1.0,1.59375
X/Y,quorumweave,matched_other_expert,-1.0,0.9375
X/Y,shardbloom,domain_expert,-1.0,1.5937500149011612
X/Y,shardbloom,matched_other_expert,-1.0,0.84375
X/Y,anchorshift,domain_expert,0.0,2.8125000298023224
X/Y,anchorshift,matched_other_expert,0.0,2.625
X/Y,driftgate,domain_expert,0.0,2.3125000298023224
X/Y,driftgate,matched_other_expert,0.0,1.78125
X/Y,fluxpatch,domain_expert,0.0,3.5625
X/Y,fluxpatch,matched_other_expert,0.0,2.28125
X/Y,motifbridge,domain_expert,0.0,0.65625
X/Y,motifbridge,matched_other_expert,0.0,0.4374999850988388
X/Y,phasenest,domain_expert,0.0,1.5624999850988388
X/Y,phasenest,matched_other_expert,0.0,0.09375
X/Y,phasesar,domain_expert,0.0,1.8437499850988388
X/Y,phasesar,matched_other_expert,0.0,1.0312500149011612
X/Y,quorumweave,domain_expert,0.0,1.78125
