layer,tail_position,direction_norm,validation_decoding_accuracy,validation_addition_effect,validation_ablation_reduction,selection_score
0,-5,0.007176375016570091,0.375,0.031250014901161194,2.46875,0.031250014901161194
0,-4,0.011512812227010727,0.625,0.03125,0.2812500149011612,0.03125
0,-3,0.008202542550861835,0.5,0.031249992549419403,0.2187500074505806,0.031249992549419403
0,-2,0.012339572422206402,0.375,0.015625,1.4901161193847656e-08,1.4901161193847656e-08
0,-1,0.007677892223000526,0.375,0.015624992549419403,0.0,0.0
1,-5,0.014543972909450531,0.375,7.450580596923828e-09,1.59375,7.450580596923828e-09
1,-4,0.017882538959383965,0.5,2.9802322387695312e-08,0.03125,2.9802322387695312e-08
1,-3,0.013190260156989098,0.375,-7.450580596923828e-09,0.12500006705522537,-7.450580596923828e-09
1,-2,0.015882626175880432,0.5,0.031249992549419403,-0.1562499850988388,-0.1562499850988388
1,-1,0.012250143103301525,0.5,0.03125,0.1250000149011612,0.03125
2,-5,0.0221452247351408,0.625,0.0312500074505806,0.125,0.0312500074505806
2,-4,0.022888215258717537,0.5,1.4901161193847656e-08,0.125,1.4901161193847656e-08
2,-3,0.031914353370666504,0.75,0.015624992549419403,0.1875,0.015624992549419403
2,-2,0.019264711067080498,0.375,0.03125,0.53125,0.03125
2,-1,0.0200746338814497,0.5,0.031250014901161194,0.0,0.0
3,-5,0.054859183728694916,0.5,-0.0468749925494194,0.4062500149011612,-0.0468749925494194
3,-4,0.04974464327096939,0.5,0.015625,0.09375,0.015625
3,-3,0.049771785736083984,0.625,0.0,0.1875,0.0
3,-2,0.03085995465517044,0.625,0.015625,0.2187500149011612,0.015625
3,-1,0.043548718094825745,0.375,2.2351741790771484e-08,0.5625000298023224,2.2351741790771484e-08
4,-5,0.07820899784564972,0.375,-1.4901161193847656e-08,0.3437499701976776,-1.4901161193847656e-08
4,-4,0.08315224200487137,0.5,-0.015624985098838806,0.12500005960464478,-0.015624985098838806
4,-3,0.06937302649021149,0.625,0.03125,0.3750000223517418,0.03125
4,-2,0.06294333189725876,0.75,-0.015625,0.15625,-0.015625
4,-1,0.06815854460000992,0.5,0.015625,0.0625,0.015625
5,-5,0.08013784885406494,0.5,-0.03125,0.0625,-0.03125
5,-4,0.09243210405111313,0.5,-0.046875,0.5,-0.046875
5,-3,0.07448016852140427,0.625,0.0,0.5625,0.0
5,-2,0.06739205867052078,0.75,-0.03125,0.5312499850988388,-0.03125
5,-1,0.07913213968276978,0.5,0.03125,0.0625,0.03125
6,-5,0.08886802941560745,0.375,0.0625,0.40625,0.0625
6,-4,0.09664929658174515,0.375,0.046875,0.25,0.046875
6,-3,0.07564599066972733,0.5,-0.03125,0.4687500149011612,-0.03125
6,-2,0.0659015104174614,0.75,0.03125001862645149,0.2812499776482582,0.03125001862645149
6,-1,0.07823378592729568,0.5,0.046875,0.0,0.0
7,-5,0.13360464572906494,0.625,0.0156250037252903,0.1875,0.0156250037252903
7,-4,0.12654829025268555,0.375,0.046875,0.21875,0.046875
7,-3,0.09088808298110962,0.625,-0.0312500074505806,0.84375,-0.0312500074505806
7,-2,0.07931825518608093,0.75,0.015625,0.03125,0.015625
7,-1,0.10300373286008835,0.75,0.015625007450580597,-0.062499985098838806,-0.062499985098838806
8,-5,0.1634201854467392,0.875,-0.031250014901161194,0.0,-0.031250014901161194
8,-4,0.12704862654209137,0.5,0.046875014901161194,-0.031249940395355225,-0.031249940395355225
8,-3,0.09075736254453659,0.625,-0.015624992549419403,0.53125,-0.015624992549419403
8,-2,0.08981724828481674,0.75,0.0312500074505806,0.0,0.0
8,-1,0.1065930500626564,1.0,0.015625,0.0625,0.015625
9,-5,0.18095649778842926,0.75,-0.015625,0.46875,-0.015625
9,-4,0.1428249627351761,0.875,0.015624985098838806,-0.2499999850988388,-0.2499999850988388
