is_true_labels,validation_accuracy,validation_signed_distance,selected_layer,selected_tail_position,test_accuracy_resnet,test_accuracy_transformer
True,1.0,18.396029472351074,31,-5,0.875,1.0
False,1.0,12.595481768250465,19,-5,1.0,0.875
False,1.0,14.903449147939682,31,-5,0.75,0.875
False,1.0,13.70401382446289,31,-5,0.75,0.875
False,1.0,15.295640230178833,31,-5,0.75,0.875
False,1.0,12.293285608291626,19,-5,1.0,0.875
False,1.0,15.419803380966187,31,-5,0.75,1.0
False,1.0,13.381468385457993,19,-5,1.0,0.875
False,1.0,17.428271412849426,31,-5,0.75,1.0
False,0.625,0.007620573043823242,0,-1,0.5,0.5
False,0.75,0.002732396125793457,0,-1,0.75,0.5
False,0.75,0.014954805374145508,0,-1,0.5,0.5
False,0.625,0.1348552703857422,11,-1,0.5,0.625
False,0.75,0.3894335627555847,8,-5,0.5,0.625
False,0.75,0.027138620615005493,13,-2,0.75,0.5
False,1.0,13.489374101161957,19,-5,1.0,0.875
False,1.0,13.61005687713623,19,-5,1.0,1.0
False,1.0,16.52655601501465,31,-5,1.0,1.0
False,1.0,14.112872123718262,19,-5,1.0,0.875
False,0.75,0.010019533336162567,0,-1,0.375,0.375
False,0.875,1.8178552389144897,17,-5,0.625,0.5
False,0.75,0.06824040412902832,4,-2,0.5,0.5
False,1.0,2.9705047011375427,24,-5,0.625,0.5
False,0.75,1.6131572723388672,31,-3,0.625,0.75
False,1.0,3.5429530143737793,22,-1,0.875,0.625
False,1.0,0.04780205339193344,2,-3,0.375,0.5
False,0.875,1.582333505153656,17,-5,0.625,0.875
False,1.0,0.06634567677974701,3,-3,0.375,0.5
False,0.875,3.1745991706848145,31,-2,0.75,1.0
False,1.0,0.5357994437217712,10,-5,0.75,0.625
False,1.0,0.023111417889595032,2,-4,0.5,0.625
False,0.75,0.026712536811828613,2,-4,0.5,0.5
False,0.875,0.019783318042755127,0,-1,0.5,0.5
False,0.75,0.01249784231185913,0,-1,0.5,0.5
False,0.625,0.022154606878757477,1,-3,0.375,0.5
False,1.0,14.408660888671875,31,-5,0.875,1.0
False,1.0,13.755179822444916,19,-5,1.0,0.875
False,1.0,16.71889019012451,31,-5,1.0,0.75
False,1.0,14.244455337524414,19,-5,1.0,0.875
False,0.875,0.09860941767692566,10,-4,0.5,0.375
False,0.75,1.7056494057178497,17,-5,0.75,0.375
False,1.0,0.24805833399295807,12,-4,0.5,0.375
False,1.0,1.4699697494506836,30,-3,0.75,0.375
False,1.0,0.2726423144340515,17,-2,0.5,0.5
False,1.0,0.16197311878204346,15,-1,0.375,0.5
False,0.875,0.17188622429966927,10,-4,0.25,0.5
False,0.75,1.6289457082748413,31,-2,0.875,0.75
False,1.0,0.29406458139419556,10,-4,0.5,0.5
False,1.0,0.0906832218170166,6,-4,0.375,0.5
False,1.0,0.8085924386978149,10,-5,0.625,0.625
False,0.875,2.74152010679245,18,-5,0.625,0.5
False,0.625,0.0071712397038936615,1,-4,0.5,0.5
False,0.75,0.19132395088672638,8,-5,0.75,0.625
False,0.75,0.05075103044509888,5,-4,0.5,0.5
False,0.75,0.2884066104888916,8,-5,0.5,0.625
False,1.0,2.9233615696430206,27,-4,0.75,0.625
False,1.0,8.89848017692566,19,-5,1.0,0.875
False,1.0,0.333209753036499,10,-4,0.5,0.5
False,1.0,6.951152801513672,30,-4,0.75,0.625
False,1.0,0.883671760559082,16,-2,1.0,0.5
False,1.0,4.445441365242004,28,-4,0.875,0.875
False,0.75,0.02686108648777008,2,-1,0.375,0.5
False,0.875,0.007146470248699188,0,-1,0.625,0.5
False,0.875,0.07822072505950928,6,-4,0.5,0.25
False,0.875,0.23439812660217285,8,-5,0.625,0.25
False,0.75,0.07501351833343506,5,-3,0.25,0.5
False,1.0,0.013633430004119873,0,-4,0.25,0.25
False,0.75,0.05937463790178299,7,-4,0.375,0.5
False,0.875,0.38139110803604126,8,-5,0.75,0.875
False,0.625,0.016421347856521606,4,-5,0.625,0.5
