kind,seed,rank,source,ablation_reduction,aggregate_mean
random,0,1,anchorshift,-5.960464477539063e-08,-0.011718761175870895
random,0,1,driftgate,-0.0625,-0.011718761175870895
random,0,1,fluxpatch,0.03125,-0.011718761175870895
random,0,1,motifbridge,-2.9802322387695312e-08,-0.011718761175870895
random,0,1,phasenest,-0.03125,-0.011718761175870895
random,0,1,phasesar,0.0,-0.011718761175870895
random,0,1,quorumweave,0.0,-0.011718761175870895
random,0,1,shardbloom,-0.03125,-0.011718761175870895
random,0,2,anchorshift,-0.06250002980232239,-0.00390625
random,0,2,driftgate,1.4901161193847656e-08,-0.00390625
random,0,2,fluxpatch,0.03125,-0.00390625
random,0,2,motifbridge,0.06249997019767761,-0.00390625
random,0,2,phasenest,2.9802322387695312e-08,-0.00390625
random,0,2,phasesar,-0.031249985098838806,-0.00390625
random,0,2,quorumweave,-0.03125,-0.00390625
random,0,2,shardbloom,0.0,-0.00390625
random,0,3,anchorshift,-0.03125002980232239,-0.003906251862645149
random,0,3,driftgate,-0.03125,-0.003906251862645149
random,0,3,fluxpatch,0.03125,-0.003906251862645149
random,0,3,motifbridge,0.031249985098838806,-0.003906251862645149
random,0,3,phasenest,-0.03125,-0.003906251862645149
random,0,3,phasesar,0.0,-0.003906251862645149
random,0,3,quorumweave,0.0,-0.003906251862645149
random,0,3,shardbloom,2.9802322387695312e-08,-0.003906251862645149
random,0,4,anchorshift,-0.03125002980232239,-0.03124998416751623
random,0,4,driftgate,-0.1249999850988388,-0.03124998416751623
random,0,4,fluxpatch,-0.09374997019767761,-0.03124998416751623
random,0,4,motifbridge,0.0312500074505806,-0.03124998416751623
random,0,4,phasenest,0.031250014901161194,-0.03124998416751623
random,0,4,phasesar,5.960464477539063e-08,-0.03124998416751623
random,0,4,quorumweave,-0.0625,-0.03124998416751623
random,0,4,shardbloom,2.9802322387695312e-08,-0.03124998416751623
random,0,5,anchorshift,-0.03125002980232239,-0.011718746274709702
random,0,5,driftgate,-0.09375,-0.011718746274709702
random,0,5,fluxpatch,0.0,-0.011718746274709702
random,0,5,motifbridge,-2.9802322387695312e-08,-0.011718746274709702
random,0,5,phasenest,-0.031249985098838806,-0.011718746274709702
random,0,5,phasesar,4.470348358154297e-08,-0.011718746274709702
random,0,5,quorumweave,0.0,-0.011718746274709702
random,0,5,shardbloom,0.06250002980232239,-0.011718746274709702
random,0,6,anchorshift,-0.1250000298023224,-0.05078125186264515
random,0,6,driftgate,-0.125,-0.05078125186264515
random,0,6,fluxpatch,-0.03125,-0.05078125186264515
random,0,6,motifbridge,0.0,-0.05078125186264515
random,0,6,phasenest,-1.4901161193847656e-08,-0.05078125186264515
random,0,6,phasesar,-0.0625,-0.05078125186264515
random,0,6,quorumweave,-0.03125,-0.05078125186264515
random,0,6,shardbloom,-0.031249970197677612,-0.05078125186264515
random,0,7,anchorshift,0.0,-0.031250011175870895
random,0,7,driftgate,-0.1250000149011612,-0.031250011175870895
random,0,7,fluxpatch,-1.4901161193847656e-08,-0.031250011175870895
random,0,7,motifbridge,0.031249940395355225,-0.031250011175870895
random,0,7,phasenest,-0.0625,-0.031250011175870895
random,0,7,phasesar,-0.03125,-0.031250011175870895
random,0,7,quorumweave,-0.03125,-0.031250011175870895
random,0,7,shardbloom,-0.03125,-0.031250011175870895
random,0,8,anchorshift,-0.06250002980232239,-0.031249999068677425
random,0,8,driftgate,-0.0937500149011612,-0.031249999068677425
random,0,8,fluxpatch,-0.03125,-0.031249999068677425
random,0,8,motifbridge,0.03125,-0.031249999068677425
random,0,8,phasenest,-0.03125,-0.031249999068677425
random,0,8,phasesar,2.2351741790771484e-08,-0.031249999068677425
random,0,8,quorumweave,-0.03125,-0.031249999068677425
random,0,8,shardbloom,-0.031249970197677612,-0.031249999068677425
random,1,1,anchorshift,-0.031250059604644775,-0.00781250186264515
random,1,1,driftgate,-0.0937500149011612,-0.00781250186264515
random,1,1,fluxpatch,2.9802322387695312e-08,-0.00781250186264515
random,1,1,motifbridge,0.06249997019767761,-0.00781250186264515
random,1,1,phasenest,-0.03125,-0.00781250186264515
random,1,1,phasesar,-0.03125,-0.00781250186264515
random,1,1,quorumweave,0.0,-0.00781250186264515
random,1,1,shardbloom,0.06250005960464478,-0.00781250186264515
random,1,2,anchorshift,0.03125,-0.01171875
random,1,2,driftgate,-0.0625,-0.01171875
random,1,2,fluxpatch,-0.09375002980232239,-0.01171875
random,1,2,motifbridge,0.031249985098838806,-0.01171875
random,1,2,phasenest,-0.031250014901161194,-0.01171875
random,1,2,phasesar,2.9802322387695312e-08,-0.01171875
random,1,2,quorumweave,0.03125,-0.01171875
random,1,2,shardbloom,2.9802322387695312e-08,-0.01171875
random,1,3,anchorshift,-0.03125002980232239,-0.0156250037252903
random,1,3,driftgate,-0.0625,-0.0156250037252903
random,1,3,fluxpatch,0.03125,-0.0156250037252903
random,1,3,motifbridge,0.06249995529651642,-0.0156250037252903
random,1,3,phasenest,1.4901161193847656e-08,-0.0156250037252903
random,1,3,phasesar,-0.03125,-0.0156250037252903
random,1,3,quorumweave,-0.03125,-0.0156250037252903
random,1,3,shardbloom,-0.06249997019767761,-0.0156250037252903
random,1,4,anchorshift,0.0,-0.00781250186264515
random,1,4,driftgate,-0.031249985098838806,-0.00781250186264515
random,1,4,fluxpatch,0.0,-0.00781250186264515
random,1,4,motifbridge,0.031249970197677612,-0.00781250186264515
random,1,4,phasenest,0.03125,-0.00781250186264515
random,1,4,phasesar,-0.03125,-0.00781250186264515
random,1,4,quorumweave,0.03125,-0.00781250186264515
random,1,4,shardbloom,-0.09375,-0.00781250186264515
random,1,5,anchorshift,0.06249997019767761,-1.862645149230957e-09
random,1,5,driftgate,-0.062499985098838806,-1.862645149230957e-09
random,1,5,fluxpatch,0.031250014901161194,-1.862645149230957e-09
random,1,5,motifbridge,0.031249970197677612,-1.862645149230957e-09
random,1,5,phasenest,-0.031249985098838806,-1.862645149230957e-09
random,1,5,phasesar,0.03125,-1.862645149230957e-09
random,1,5,quorumweave,-0.03125,-1.862645149230957e-09
random,1,5,shardbloom,-0.03125,-1.862645149230957e-09
random,1,6,anchorshift,0.0,-0.0312500037252903
random,1,6,driftgate,-0.15625,-0.0312500037252903
random,1,6,fluxpatch,-0.03125,-0.0312500037252903
random,1,6,motifbridge,-2.9802322387695312e-08,-0.0312500037252903
random,1,6,phasenest,0.03125,-0.0312500037252903
random,1,6,phasesar,-0.03125,-0.0312500037252903
random,1,6,quorumweave,-0.0625,-0.0312500037252903
random,1,6,shardbloom,0.0,-0.0312500037252903
random,1,7,anchorshift,-0.03125002980232239,-0.03515625
random,1,7,driftgate,-0.09375,-0.03515625
random,1,7,fluxpatch,-0.031250014901161194,-0.03515625
random,1,7,motifbridge,-0.06250002980232239,-0.03515625
random,1,7,phasenest,-0.062499985098838806,-0.03515625
random,1,7,phasesar,0.0,-0.03515625
random,1,7,quorumweave,0.03125,-0.03515625
random,1,7,shardbloom,-0.031249940395355225,-0.03515625
random,1,8,anchorshift,-0.06250002980232239,-0.027343759313225746
random,1,8,driftgate,-0.0625000149011612,-0.027343759313225746
random,1,8,fluxpatch,0.03125,-0.027343759313225746
random,1,8,motifbridge,-0.03125004470348358,-0.027343759313225746
random,1,8,phasenest,0.0,-0.027343759313225746
random,1,8,phasesar,-1.4901161193847656e-08,-0.027343759313225746
random,1,8,quorumweave,-0.0625,-0.027343759313225746
random,1,8,shardbloom,-0.031249970197677612,-0.027343759313225746
random,2,1,anchorshift,-0.03125002980232239,0.011718743480741978
random,2,1,driftgate,-0.031249985098838806,0.011718743480741978
random,2,1,fluxpatch,0.0625,0.011718743480741978
random,2,1,motifbridge,0.03124995529651642,0.011718743480741978
random,2,1,phasenest,0.09374997764825821,0.011718743480741978
random,2,1,phasesar,0.03125,0.011718743480741978
random,2,1,quorumweave,-0.03125,0.011718743480741978
random,2,1,shardbloom,-0.031249970197677612,0.011718743480741978
random,2,2,anchorshift,-0.03125,-0.02343749813735485
random,2,2,driftgate,-0.09375,-0.02343749813735485
random,2,2,fluxpatch,-0.0625,-0.02343749813735485
random,2,2,motifbridge,0.031249970197677612,-0.02343749813735485
random,2,2,phasenest,-0.0937499850988388,-0.02343749813735485
random,2,2,phasesar,0.0625,-0.02343749813735485
random,2,2,quorumweave,0.0,-0.02343749813735485
random,2,2,shardbloom,2.9802322387695312e-08,-0.02343749813735485
random,2,3,anchorshift,-5.960464477539063e-08,-0.01562501396983862
random,2,3,driftgate,-0.1250000223517418,-0.01562501396983862
random,2,3,fluxpatch,0.03125,-0.01562501396983862
random,2,3,motifbridge,0.031249985098838806,-0.01562501396983862
random,2,3,phasenest,-2.9802322387695312e-08,-0.01562501396983862
random,2,3,phasesar,0.031249985098838806,-0.01562501396983862
random,2,3,quorumweave,-0.03125,-0.01562501396983862
random,2,3,shardbloom,-0.06249997019767761,-0.01562501396983862
random,2,4,anchorshift,-2.9802322387695312e-08,-0.039062511175870895
random,2,4,driftgate,-0.0625000149011612,-0.039062511175870895
random,2,4,fluxpatch,0.0,-0.039062511175870895
random,2,4,motifbridge,-0.03125002980232239,-0.039062511175870895
random,2,4,phasenest,-0.0625,-0.039062511175870895
random,2,4,phasesar,-1.4901161193847656e-08,-0.039062511175870895
random,2,4,quorumweave,-0.125,-0.039062511175870895
random,2,4,shardbloom,-0.03125,-0.039062511175870895
random,2,5,anchorshift,-0.06250002980232239,-0.007812506519258022
random,2,5,driftgate,-1.4901161193847656e-08,-0.007812506519258022
random,2,5,fluxpatch,-0.03125,-0.007812506519258022
random,2,5,motifbridge,0.03124995529651642,-0.007812506519258022
random,2,5,phasenest,7.450580596923828e-09,-0.007812506519258022
random,2,5,phasesar,-0.03125,-0.007812506519258022
random,2,5,quorumweave,-0.03125,-0.007812506519258022
random,2,5,shardbloom,0.06250002980232239,-0.007812506519258022
random,2,6,anchorshift,-0.03125008940696716,-0.011718759313225746
random,2,6,driftgate,-0.03125,-0.011718759313225746
random,2,6,fluxpatch,0.0,-0.011718759313225746
random,2,6,motifbridge,-0.031250014901161194,-0.011718759313225746
random,2,6,phasenest,0.03125,-0.011718759313225746
random,2,6,phasesar,0.03125,-0.011718759313225746
random,2,6,quorumweave,-0.03125,-0.011718759313225746
random,2,6,shardbloom,-0.031249970197677612,-0.011718759313225746
random,2,7,anchorshift,-0.031250059604644775,-0.035156259313225746
random,2,7,driftgate,-0.09375,-0.035156259313225746
random,2,7,fluxpatch,-0.03125,-0.035156259313225746
random,2,7,motifbridge,0.03124995529651642,-0.035156259313225746
random,2,7,phasenest,-0.0625,-0.035156259313225746
random,2,7,phasesar,-0.09375,-0.035156259313225746
random,2,7,quorumweave,0.0,-0.035156259313225746
random,2,7,shardbloom,2.9802322387695312e-08,-0.035156259313225746
random,2,8,anchorshift,-0.03125002980232239,-0.011718755587935448
random,2,8,driftgate,-0.031249985098838806,-0.011718755587935448
random,2,8,fluxpatch,-0.03125,-0.011718755587935448
random,2,8,motifbridge,-2.9802322387695312e-08,-0.011718755587935448
random,2,8,phasenest,-0.03125,-0.011718755587935448
random,2,8,phasesar,0.03125,-0.011718755587935448
random,2,8,quorumweave,-0.03125,-0.011718755587935448
random,2,8,shardbloom,0.03125,-0.011718755587935448
random,3,1,anchorshift,-2.9802322387695312e-08,-0.019531257450580597
random,3,1,driftgate,-0.0625,-0.019531257450580597
random,3,1,fluxpatch,0.0,-0.019531257450580597
random,3,1,motifbridge,-0.03125002980232239,-0.019531257450580597
random,3,1,phasenest,-2.9802322387695312e-08,-0.019531257450580597
random,3,1,phasesar,-0.0625,-0.019531257450580597
random,3,1,quorumweave,-0.03125,-0.019531257450580597
random,3,1,shardbloom,0.03125002980232239,-0.019531257450580597
random,3,2,anchorshift,0.0625,0.003906250931322575
random,3,2,driftgate,-0.062499985098838806,0.003906250931322575
