layer,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31
0,0.9999995827674866,0.04480450600385666,0.02027129754424095,0.028520075604319572,0.04035832732915878,0.028628967702388763,0.012732421047985554,0.01894131489098072,0.0352441780269146,0.023678243160247803,0.013749361038208008,0.024154406040906906,0.015491927973926067,0.021206092089414597,0.0164782777428627,0.015866754576563835,0.008083216845989227,0.01595265418291092,0.03982944414019585,0.05822472274303436,0.06934037059545517,0.07605048269033432,0.07104362547397614,0.06115129962563515,0.06575556099414825,0.06640893220901489,0.058232009410858154,0.076929971575737,0.08174889534711838,0.07646846026182175,0.055322274565696716,0.028224000707268715
1,0.04480450600385666,0.9999995231628418,0.41895997524261475,0.12044383585453033,0.007287668529897928,0.041955143213272095,0.008264640346169472,0.02611272595822811,0.017684990540146828,0.003993485122919083,0.002913854317739606,0.029395097866654396,0.014259915798902512,0.07037707418203354,0.0914560854434967,0.12018951028585434,0.07066089659929276,0.0273630078881979,0.011394059285521507,0.017638951539993286,0.030563335865736008,0.02152078039944172,0.04179433360695839,0.0685102567076683,0.04866015166044235,0.03992253541946411,0.009707385674118996,0.00386313465423882,0.0072220806032419205,0.013999939896166325,0.023549407720565796,0.2330690175294876
2,0.02027129754424095,0.41895997524261475,0.9999998807907104,0.24997316300868988,0.09771081805229187,0.020945947617292404,0.02292151376605034,0.04821765795350075,0.007568160071969032,0.0015423669246956706,0.0307023823261261,0.030642835423350334,0.0061896806582808495,0.010622682049870491,0.006286324467509985,0.02884777821600437,0.020474445074796677,0.032441146671772,0.00783551950007677,0.013243492692708969,0.023304251953959465,0.0319070927798748,0.02294033206999302,0.03162031248211861,0.029425693675875664,0.0285897646099329,0.024663852527737617,0.02659384161233902,0.02402576245367527,0.03324815258383751,0.00905477162450552,0.07492145150899887
3,0.028520075604319572,0.12044383585453033,0.24997316300868988,0.999999463558197,0.39854696393013,0.20630161464214325,0.05914929881691933,0.04126201942563057,0.003114655613899231,0.009693854488432407,0.021803677082061768,0.018934166058897972,0.027343856170773506,0.014711522497236729,0.022356335073709488,0.007996796630322933,0.010275163687765598,0.017996754497289658,0.002189893741160631,0.003345182165503502,0.0027434201911091805,0.00294490740634501,0.0075011360459029675,0.006349609699100256,0.016343725845217705,0.01727878488600254,0.020595427602529526,0.021702392026782036,0.01786777749657631,0.011923599988222122,0.03302602097392082,0.06869704276323318
4,0.04035832732915878,0.007287668529897928,0.09771081805229187,0.39854696393013,0.999998927116394,0.5042338967323303,0.20278029143810272,0.061981599777936935,0.03051651082932949,0.0034712767228484154,0.030428672209382057,0.035144440829753876,0.02235257811844349,0.003114148508757353,0.003074048552662134,0.0033675963059067726,0.005070657469332218,0.007541770581156015,0.0159414354711771,0.0012912544189020991,0.012655322439968586,0.016027072444558144,0.004232152830809355,0.0033598707523196936,0.01509113423526287,0.018812058493494987,0.03259449079632759,0.02965145744383335,0.022910678759217262,0.011971119791269302,0.030338671058416367,0.07874101400375366
5,0.028628967702388763,0.041955143213272095,0.020945947617292404,0.20630161464214325,0.5042338967323303,0.9999989867210388,0.3806580901145935,0.10784558951854706,0.09313555061817169,0.06080075353384018,0.0684795007109642,0.040246568620204926,0.02199137769639492,0.030516384169459343,0.01351115945726633,0.02529086172580719,0.043462906032800674,0.009102480486035347,0.013592660427093506,0.0038253602106124163,0.028816241770982742,0.020423267036676407,0.012658613733947277,0.011134401895105839,0.016803985461592674,0.01137988455593586,0.019061094149947166,0.02192598208785057,0.021993711590766907,0.02117639034986496,0.014520088210701942,0.01882600411772728
6,0.012732421047985554,0.008264640346169472,0.02292151376605034,0.05914929881691933,0.20278029143810272,0.3806580901145935,0.9999982714653015,0.18930493295192719,0.15640805661678314,0.11621123552322388,0.15483427047729492,0.10024141520261765,0.07351188361644745,0.0638163611292839,0.030880995094776154,0.0449952632188797,0.025845330208539963,0.008858107030391693,0.008657827973365784,0.015191162005066872,0.0025698398239910603,0.011076195165514946,0.007928385399281979,0.004193112254142761,0.010234860703349113,0.015132404863834381,0.018508430570364,0.03588799387216568,0.0366184338927269,0.03807893395423889,0.042348261922597885,0.05871686339378357
7,0.01894131489098072,0.02611272595822811,0.04821765795350075,0.04126201942563057,0.061981599777936935,0.10784558951854706,0.18930493295192719,1.000000238418579,0.5705356597900391,0.3674919009208679,0.24960003793239594,0.17578691244125366,0.11798859387636185,0.060325585305690765,0.010950595140457153,0.04883977025747299,0.008014624938368797,0.04184134304523468,0.024960480630397797,0.0024954674299806356,0.005864844191819429,0.016768036410212517,0.008644846267998219,0.020688790827989578,0.024047212675213814,0.022700591012835503,0.019923953339457512,0.007654441054910421,0.008953232318162918,0.015311009250581264,0.006258148699998856,0.05103664845228195
8,0.0352441780269146,0.017684990540146828,0.007568160071969032,0.003114655613899231,0.03051651082932949,0.09313555061817169,0.15640805661678314,0.5705356597900391,1.000000238418579,0.6198090314865112,0.41279157996177673,0.23165921866893768,0.1840660572052002,0.13462159037590027,0.08788544684648514,0.027640100568532944,0.03801748529076576,0.04592832922935486,0.04201787710189819,0.027252022176980972,0.023824600502848625,0.01542698685079813,0.0031300242990255356,0.01685953699052334,0.02031981386244297,0.015912124887108803,0.010262716561555862,0.0018093602266162634,0.012290241196751595,0.006910781376063824,0.008900926448404789,0.02084125205874443
9,0.023678243160247803,0.003993485122919083,0.0015423669246956706,0.009693854488432407,0.0034712767228484154,0.06080075353384018,0.11621123552322388,0.3674919009208679,0.6198090314865112,1.0000009536743164,0.6159679293632507,0.31343570351600647,0.24284201860427856,0.1828823685646057,0.15369164943695068,0.09955320507287979,0.06705199927091599,0.04608956724405289,0.05047691985964775,0.022382352501153946,0.011449388228356838,0.009595051407814026,0.009465686976909637,0.015073020942509174,0.005972215905785561,0.009853876195847988,0.01261950470507145,0.014063683338463306,0.009030171670019627,0.010680240578949451,0.015477452427148819,0.03170415014028549
10,0.013749361038208008,0.002913854317739606,0.0307023823261261,0.021803677082061768,0.030428672209382057,0.0684795007109642,0.15483427047729492,0.24960003793239594,0.41279157996177673,0.6159679293632507,1.0000004768371582,0.4324369430541992,0.31051135063171387,0.24745997786521912,0.1814560741186142,0.11178267002105713,0.07070737332105637,0.04533480852842331,0.05837447941303253,0.03301829472184181,0.03951049968600273,0.015881529077887535,0.013579539023339748,0.006087621208280325,0.013404428958892822,0.010101160034537315,0.00867009162902832,0.011705481447279453,0.005410505924373865,0.00272244680672884,0.0022816574200987816,0.010900557041168213
11,0.024154406040906906,0.029395097866654396,0.030642835423350334,0.018934166058897972,0.035144440829753876,0.040246568620204926,0.10024141520261765,0.17578691244125366,0.23165921866893768,0.31343570351600647,0.4324369430541992,0.9999979138374329,0.6059953570365906,0.36229902505874634,0.27895304560661316,0.1414124220609665,0.1016870066523552,0.09788994491100311,0.0704907551407814,0.03714475780725479,0.03821170702576637,0.02929176390171051,0.02720957249403,0.02851022407412529,0.024203484877943993,0.026036029681563377,0.010573270730674267,0.025068124756217003,0.014777030795812607,0.030278146266937256,0.010481834411621094,0.06452295929193497
12,0.015491927973926067,0.014259915798902512,0.0061896806582808495,0.027343856170773506,0.02235257811844349,0.02199137769639492,0.07351188361644745,0.11798859387636185,0.1840660572052002,0.24284201860427856,0.31051135063171387,0.6059953570365906,0.9999994039535522,0.6315593123435974,0.47588324546813965,0.3260878622531891,0.22570478916168213,0.13835909962654114,0.08489076048135757,0.03179428353905678,0.024650732055306435,0.006012349855154753,0.011729016900062561,0.006654520984739065,0.008814896456897259,0.0033824534621089697,0.011053290218114853,0.013827318325638771,0.014102771878242493,0.004430130124092102,0.001335522742010653,0.01891307905316353
13,0.021206092089414597,0.07037707418203354,0.010622682049870491,0.014711522497236729,0.003114148508757353,0.030516384169459343,0.0638163611292839,0.060325585305690765,0.13462159037590027,0.1828823685646057,0.24745997786521912,0.36229902505874634,0.6315593123435974,1.000001072883606,0.7012907862663269,0.4975700080394745,0.3349434733390808,0.15204636752605438,0.11037171632051468,0.07395864278078079,0.05219968035817146,0.03169121965765953,0.03523940220475197,0.0012622170615941286,0.008614803664386272,0.011497439816594124,0.020875748246908188,0.020421970635652542,0.012399326078593731,0.009439866989850998,0.025414422154426575,0.09868939965963364
14,0.0164782777428627,0.0914560854434967,0.006286324467509985,0.022356335073709488,0.003074048552662134,0.01351115945726633,0.030880995094776154,0.010950595140457153,0.08788544684648514,0.15369164943695068,0.1814560741186142,0.27895304560661316,0.47588324546813965,0.7012907862663269,0.9999992847442627,0.6890838146209717,0.45260223746299744,0.15732838213443756,0.10565236955881119,0.07883255183696747,0.0381314791738987,0.01762472651898861,0.011286817491054535,0.017058735713362694,0.0034499072935432196,0.00031988375121727586,0.010654641315340996,0.025465385988354683,0.019545065239071846,0.015252189710736275,0.03474656492471695,0.1263406127691269
15,0.015866754576563835,0.12018951028585434,0.02884777821600437,0.007996796630322933,0.0033675963059067726,0.02529086172580719,0.0449952632188797,0.04883977025747299,0.027640100568532944,0.09955320507287979,0.11178267002105713,0.1414124220609665,0.3260878622531891,0.4975700080394745,0.6890838146209717,1.0000003576278687,0.6797963976860046,0.23824509978294373,0.15721705555915833,0.10627105832099915,0.04823481664061546,0.02643752470612526,0.014050813391804695,0.02606169506907463,0.0025483649224042892,0.006157674826681614,0.024815965443849564,0.03341622278094292,0.02915133908390999,0.020480982959270477,0.049248646944761276,0.19308799505233765
16,0.008083216845989227,0.07066089659929276,0.020474445074796677,0.010275163687765598,0.005070657469332218,0.043462906032800674,0.025845330208539963,0.008014624938368797,0.03801748529076576,0.06705199927091599,0.07070737332105637,0.1016870066523552,0.22570478916168213,0.3349434733390808,0.45260223746299744,0.6797963976860046,0.9999985694885254,0.3595534563064575,0.24467739462852478,0.1580696702003479,0.10349748283624649,0.07817995548248291,0.046403247863054276,0.016438892111182213,0.03521574288606644,0.034381940960884094,0.05007191374897957,0.05449415370821953,0.053540002554655075,0.05344229191541672,0.059683799743652344,0.14475399255752563
17,0.01595265418291092,0.0273630078881979,0.032441146671772,0.017996754497289658,0.007541770581156015,0.009102480486035347,0.008858107030391693,0.04184134304523468,0.04592832922935486,0.04608956724405289,0.04533480852842331,0.09788994491100311,0.13835909962654114,0.15204636752605438,0.15732838213443756,0.23824509978294373,0.3595534563064575,0.9999991059303284,0.6997612714767456,0.5171530246734619,0.44941437244415283,0.3837795853614807,0.32777178287506104,0.30027449131011963,0.2848210334777832,0.2685175836086273,0.2462184578180313,0.21771013736724854,0.20147329568862915,0.19539862871170044,0.16908924281597137,0.12691062688827515
18,0.03982944414019585,0.011394059285521507,0.00783551950007677,0.002189893741160631,0.0159414354711771,0.013592660427093506,0.008657827973365784,0.024960480630397797,0.04201787710189819,0.05047691985964775,0.05837447941303253,0.0704907551407814,0.08489076048135757,0.11037171632051468,0.10565236955881119,0.15721705555915833,0.24467739462852478,0.6997612714767456,1.0000001192092896,0.6818708181381226,0.596825361251831,0.51555997133255,0.4558952748775482,0.4132564663887024,0.38557305932044983,0.36288511753082275,0.33320170640945435,0.3015366196632385,0.28103503584861755,0.26385971903800964,0.25350815057754517,0.1590157300233841
19,0.05822472274303436,0.017638951539993286,0.013243492692708969,0.003345182165503502,0.0012912544189020991,0.0038253602106124163,0.015191162005066872,0.0024954674299806356,0.027252022176980972,0.022382352501153946,0.03301829472184181,0.03714475780725479,0.03179428353905678,0.07395864278078079,0.07883255183696747,0.10627105832099915,0.1580696702003479,0.5171530246734619,0.6818708181381226,1.0000016689300537,0.8405551910400391,0.718693196773529,0.616263747215271,0.5464244484901428,0.5213148593902588,0.4919247329235077,0.4558296203613281,0.42992281913757324,0.386563777923584,0.35866981744766235,0.3323148488998413,0.21575795114040375
20,0.06934037059545517,0.030563335865736008,0.023304251953959465,0.0027434201911091805,0.012655322439968586,0.028816241770982742,0.0025698398239910603,0.005864844191819429,0.023824600502848625,0.011449388228356838,0.03951049968600273,0.03821170702576637,0.024650732055306435,0.05219968035817146,0.0381314791738987,0.04823481664061546,0.10349748283624649,0.44941437244415283,0.596825361251831,0.8405551910400391,1.0000003576278687,0.8601334095001221,0.74431973695755,0.6793595552444458,0.6361802220344543,0.5947045087814331,0.5405610799789429,0.503369927406311,0.4487800598144531,0.4172809422016144,0.3786333203315735,0.18381135165691376
21,0.07605048269033432,0.02152078039944172,0.0319070927798748,0.00294490740634501,0.016027072444558144,0.020423267036676407,0.011076195165514946,0.016768036410212517,0.01542698685079813,0.009595051407814026,0.015881529077887535,0.02929176390171051,0.006012349855154753,0.03169121965765953,0.01762472651898861,0.02643752470612526,0.07817995548248291,0.3837795853614807,0.51555997133255,0.718693196773529,0.8601334095001221,0.9999985694885254,0.8715959787368774,0.7974981665611267,0.7512028217315674,0.7117776274681091,0.662716805934906,0.6096704006195068,0.5578597784042358,0.5141400098800659,0.4640427529811859,0.22593343257904053
