test_set,rank,mean_reduction,positive_domains,exact_one_sided_p,random_ge_learned,shuffled_ge_learned
original,1,0.03906249441206455,5,0.0625,0,20
original,2,0.08593750465661287,8,0.00390625,0,21
original,3,0.17968749348074198,8,0.00390625,0,2
original,4,0.17578125279396772,8,0.00390625,0,9
original,5,0.15624999348074198,8,0.00390625,0,28
original,6,0.18359374441206455,8,0.00390625,0,23
original,7,0.26562499813735485,8,0.00390625,0,5
original,8,0.26171875,8,0.00390625,0,7
new_carrier,1,0.08593750186264515,7,0.015625,,
new_carrier,2,0.1406250037252903,8,0.00390625,,
new_carrier,3,0.2382812462747097,8,0.00390625,,
new_carrier,4,0.2695312527939677,8,0.00390625,,
new_carrier,5,0.24609374813735485,8,0.00390625,,
new_carrier,6,0.27343750186264515,8,0.00390625,,
new_carrier,7,0.35937500186264515,8,0.00390625,,
new_carrier,8,0.3867187472060323,8,0.00390625,,
