encoding,source,condition,alpha,technical_margin
A/B,anchorshift,domain_expert,-2.0,2.5
A/B,anchorshift,matched_other_expert,-2.0,1.78125
A/B,driftgate,domain_expert,-2.0,1.875
A/B,driftgate,matched_other_expert,-2.0,1.3125
A/B,fluxpatch,domain_expert,-2.0,2.25
A/B,fluxpatch,matched_other_expert,-2.0,1.53125
A/B,motifbridge,domain_expert,-2.0,1.125
A/B,motifbridge,matched_other_expert,-2.0,0.71875
A/B,phasenest,domain_expert,-2.0,1.7187499850988388
A/B,phasenest,matched_other_expert,-2.0,0.5625
A/B,phasesar,domain_expert,-2.0,1.6562499850988388
A/B,phasesar,matched_other_expert,-2.0,0.8124999403953552
A/B,quorumweave,domain_expert,-2.0,1.4374999850988388
A/B,quorumweave,matched_other_expert,-2.0,0.9999999925494194
A/B,shardbloom,domain_expert,-2.0,1.15625
A/B,shardbloom,matched_other_expert,-2.0,0.625
A/B,anchorshift,domain_expert,-1.0,2.71875
A/B,anchorshift,matched_other_expert,-1.0,1.96875
A/B,driftgate,domain_expert,-1.0,2.03125
A/B,driftgate,matched_other_expert,-1.0,1.4374999850988388
A/B,fluxpatch,domain_expert,-1.0,2.5
A/B,fluxpatch,matched_other_expert,-1.0,1.7499999701976776
A/B,motifbridge,domain_expert,-1.0,1.1875
A/B,motifbridge,matched_other_expert,-1.0,0.875
A/B,phasenest,domain_expert,-1.0,1.875
A/B,phasenest,matched_other_expert,-1.0,0.65625
A/B,phasesar,domain_expert,-1.0,1.8124999925494194
A/B,phasesar,matched_other_expert,-1.0,1.0
A/B,quorumweave,domain_expert,-1.0,1.5624999850988388
A/B,quorumweave,matched_other_expert,-1.0,1.0625
A/B,shardbloom,domain_expert,-1.0,1.3125
A/B,shardbloom,matched_other_expert,-1.0,0.78125
A/B,anchorshift,domain_expert,0.0,3.03125
A/B,anchorshift,matched_other_expert,0.0,2.21875
A/B,driftgate,domain_expert,0.0,2.28125
A/B,driftgate,matched_other_expert,0.0,1.6562500447034836
A/B,fluxpatch,domain_expert,0.0,2.78125
A/B,fluxpatch,matched_other_expert,0.0,1.96875
A/B,motifbridge,domain_expert,0.0,1.40625
A/B,motifbridge,matched_other_expert,0.0,0.9687499701976776
A/B,phasenest,domain_expert,0.0,2.09375
A/B,phasenest,matched_other_expert,0.0,0.75
A/B,phasesar,domain_expert,0.0,2.09375
A/B,phasesar,matched_other_expert,0.0,1.15625
A/B,quorumweave,domain_expert,0.0,1.8125
A/B,quorumweave,matched_other_expert,0.0,1.2187499701976776
A/B,shardbloom,domain_expert,0.0,1.4375
A/B,shardbloom,matched_other_expert,0.0,0.875
A/B,anchorshift,domain_expert,1.0,3.34375
A/B,anchorshift,matched_other_expert,1.0,2.4687500298023224
A/B,driftgate,domain_expert,1.0,2.46875
A/B,driftgate,matched_other_expert,1.0,1.84375
A/B,fluxpatch,domain_expert,1.0,3.0
A/B,fluxpatch,matched_other_expert,1.0,2.09375
A/B,motifbridge,domain_expert,1.0,1.6249999850988388
A/B,motifbridge,matched_other_expert,1.0,1.15625
A/B,phasenest,domain_expert,1.0,2.3125
A/B,phasenest,matched_other_expert,1.0,0.78125
A/B,phasesar,domain_expert,1.0,2.3125
A/B,phasesar,matched_other_expert,1.0,1.3124999850988388
A/B,quorumweave,domain_expert,1.0,2.0
A/B,quorumweave,matched_other_expert,1.0,1.375
A/B,shardbloom,domain_expert,1.0,1.65625
A/B,shardbloom,matched_other_expert,1.0,1.0
A/B,anchorshift,domain_expert,2.0,3.625
A/B,anchorshift,matched_other_expert,2.0,2.65625
A/B,driftgate,domain_expert,2.0,2.71875
A/B,driftgate,matched_other_expert,2.0,1.9999999850988388
A/B,fluxpatch,domain_expert,2.0,3.1875
A/B,fluxpatch,matched_other_expert,2.0,2.28125
A/B,motifbridge,domain_expert,2.0,1.8437499850988388
A/B,motifbridge,matched_other_expert,2.0,1.375
A/B,phasenest,domain_expert,2.0,2.4375
A/B,phasenest,matched_other_expert,2.0,0.9375
A/B,phasesar,domain_expert,2.0,2.53125
A/B,phasesar,matched_other_expert,2.0,1.5
A/B,quorumweave,domain_expert,2.0,2.187500014901161
A/B,quorumweave,matched_other_expert,2.0,1.5625
A/B,shardbloom,domain_expert,2.0,1.8125
A/B,shardbloom,matched_other_expert,2.0,1.1875
X/Y,anchorshift,domain_expert,-2.0,2.71875
X/Y,anchorshift,matched_other_expert,-2.0,2.125
X/Y,driftgate,domain_expert,-2.0,2.4375
X/Y,driftgate,matched_other_expert,-2.0,2.0937499701976776
