test_set,source,projection_gap
stimuli_prospective_synthetic,anchorshift,0.11542940139770508
stimuli_prospective_synthetic,driftgate,0.32336446456611156
stimuli_prospective_synthetic,fluxpatch,0.19345229119062424
stimuli_prospective_synthetic,motifbridge,0.15273575112223625
stimuli_prospective_synthetic,phasenest,0.5107800662517548
stimuli_prospective_synthetic,phasesar,0.40134138986468315
stimuli_prospective_synthetic,quorumweave,0.20533061027526855
stimuli_prospective_synthetic,shardbloom,0.3782443404197693
stimuli_prospective_profile_paraphrase,anchorshift,0.2802168130874634
stimuli_prospective_profile_paraphrase,driftgate,0.2669922858476639
stimuli_prospective_profile_paraphrase,fluxpatch,0.24722715094685555
stimuli_prospective_profile_paraphrase,motifbridge,0.2378297708928585
stimuli_prospective_profile_paraphrase,phasenest,0.5297980532050133
stimuli_prospective_profile_paraphrase,phasesar,0.49792007356882095
stimuli_prospective_profile_paraphrase,quorumweave,0.24186724424362183
stimuli_prospective_profile_paraphrase,shardbloom,0.3301370330154896
