test_set,kind,seed,aggregate_gap
stimuli_prospective_synthetic,random,0,-0.011102544143795967
stimuli_prospective_synthetic,permuted_labels,0,-0.06940239667892456
stimuli_prospective_synthetic,random,1,-0.0004596221260726452
stimuli_prospective_synthetic,permuted_labels,1,-0.028183423914015293
stimuli_prospective_synthetic,random,2,-0.006560841575264931
stimuli_prospective_synthetic,permuted_labels,2,-0.22008239477872849
stimuli_prospective_synthetic,random,3,-0.000451783649623394
stimuli_prospective_synthetic,permuted_labels,3,0.13171494891867042
stimuli_prospective_synthetic,random,4,-0.004063782282173634
stimuli_prospective_synthetic,permuted_labels,4,0.15514103323221207
stimuli_prospective_synthetic,random,5,-0.0060119591653347015
stimuli_prospective_synthetic,permuted_labels,5,-0.22995038703083992
stimuli_prospective_synthetic,random,6,-0.006925566587597132
stimuli_prospective_synthetic,permuted_labels,6,0.042530366219580173
stimuli_prospective_synthetic,random,7,0.00031564291566610336
stimuli_prospective_synthetic,permuted_labels,7,0.173998876940459
stimuli_prospective_synthetic,random,8,0.0072743259370327
stimuli_prospective_synthetic,permuted_labels,8,0.19557924941182137
stimuli_prospective_synthetic,random,9,0.001976282335817814
stimuli_prospective_synthetic,permuted_labels,9,0.0424586390145123
stimuli_prospective_synthetic,random,10,0.0008022603578865528
stimuli_prospective_synthetic,permuted_labels,10,0.027693289797753096
stimuli_prospective_synthetic,random,11,-0.005515631288290024
stimuli_prospective_synthetic,permuted_labels,11,0.06534692691639066
stimuli_prospective_synthetic,random,12,-0.00011268630623817444
stimuli_prospective_synthetic,permuted_labels,12,-0.1277606412768364
stimuli_prospective_synthetic,random,13,0.019507793709635735
stimuli_prospective_synthetic,permuted_labels,13,0.00043655186891555786
stimuli_prospective_synthetic,random,14,0.0012814877554774284
stimuli_prospective_synthetic,permuted_labels,14,0.14026823779568076
stimuli_prospective_synthetic,random,15,0.006428493652492762
stimuli_prospective_synthetic,permuted_labels,15,0.057032993994653225
stimuli_prospective_synthetic,random,16,0.0010083969682455063
stimuli_prospective_synthetic,permuted_labels,16,0.01907438226044178
stimuli_prospective_synthetic,random,17,0.018055387306958437
stimuli_prospective_synthetic,permuted_labels,17,-0.20536206290125847
stimuli_prospective_synthetic,random,18,0.013606990687549114
stimuli_prospective_synthetic,permuted_labels,18,-0.09989518392831087
stimuli_prospective_synthetic,random,19,-0.004553496837615967
stimuli_prospective_synthetic,permuted_labels,19,-0.02385546639561653
stimuli_prospective_synthetic,random,20,0.0008606624323874712
stimuli_prospective_synthetic,permuted_labels,20,-0.12082277797162533
stimuli_prospective_synthetic,random,21,0.0030620843172073364
stimuli_prospective_synthetic,permuted_labels,21,0.12443146295845509
stimuli_prospective_synthetic,random,22,-0.01316003454849124
stimuli_prospective_synthetic,permuted_labels,22,-0.0038277842104434967
stimuli_prospective_synthetic,random,23,-0.0016993489116430283
stimuli_prospective_synthetic,permuted_labels,23,0.20908922795206308
stimuli_prospective_synthetic,random,24,-0.012582944706082344
stimuli_prospective_synthetic,permuted_labels,24,0.031974686309695244
stimuli_prospective_synthetic,random,25,0.0017539202235639095
stimuli_prospective_synthetic,permuted_labels,25,0.04224560409784317
stimuli_prospective_synthetic,random,26,-0.0013116649352014065
stimuli_prospective_synthetic,permuted_labels,26,-0.15866120904684067
stimuli_prospective_synthetic,random,27,-0.00238195713609457
stimuli_prospective_synthetic,permuted_labels,27,0.08301952108740807
stimuli_prospective_synthetic,random,28,-0.006531833671033382
stimuli_prospective_synthetic,permuted_labels,28,0.08715701522305608
stimuli_prospective_synthetic,random,29,0.007661797106266022
stimuli_prospective_synthetic,permuted_labels,29,0.05205023381859064
