kind,seed,source_id,mean_slope
learned,-1,resnet,0.4218749974388629
learned,-1,transformer,0.3437500079162419
random,0,resnet,0.01562500512227416
random,0,transformer,1.1641532182693481e-09
random,1,resnet,-0.054687501629814506
random,1,transformer,-0.054687500232830644
random,2,resnet,0.023437509778887033
random,2,transformer,0.07031249697320163
random,3,resnet,-0.02343751024454832
random,3,transformer,0.039062495809048414
random,4,resnet,0.046875013737007976
random,4,transformer,0.031249994412064552
random,5,resnet,-0.03124999161809683
random,5,transformer,0.015624996274709702
random,6,resnet,-0.02343749115243554
random,6,transformer,9.313225746154785e-10
random,7,resnet,0.031249999767169356
random,7,transformer,0.04687499697320163
random,8,resnet,0.09374999860301614
random,8,transformer,0.10156249301508069
random,9,resnet,1.862645149230957e-09
random,9,transformer,0.007812489522621036
random,10,resnet,-0.031249988125637174
random,10,transformer,-0.03124999743886292
random,11,resnet,-0.10156249045394361
random,11,transformer,-0.08593750069849193
random,12,resnet,-0.015625010011717677
random,12,transformer,0.00781250768341124
random,13,resnet,0.05468749860301614
random,13,transformer,0.023437497206032276
random,14,resnet,-0.05468749441206455
random,14,transformer,-0.007812492316588759
random,15,resnet,-0.015625013038516045
random,15,transformer,0.031249994644895196
random,16,resnet,-0.07812498090788722
random,16,transformer,-0.007812493946403265
random,17,resnet,0.039062504190951586
random,17,transformer,1.234002411365509e-08
random,18,resnet,-0.015625007916241884
random,18,transformer,-0.015625004656612873
random,19,resnet,0.046874995809048414
random,19,transformer,0.01562499301508069
